location,price,beds,baths,house_size,land_size
3,7000000,2,1,1200,2
17,42000000,5,4,2500,20
19,12000000,2,1,5000,20
2,18000000,3,2,1800,8
20,5000000,2,1,1200,10
17,19000000,3,4,2400,10
17,30000000,4,4,3900,8
25,9000000,3,3,1480,7.5
33,33000000,4,4,2700,8
15,22000000,3,3,2550,10
