price,beds,baths,house_size,land_size
16500000,2,2,1000,6
2500000,2,1,1500,12
25000000,4,3,2240,10
30000000,5,4,2600,10
14500000,5,2,3000,25.5
34000000,4,4,3300,8
21500000,4,3,2850,6
21500000,4,3,2200,6.5
7950000,3,1,1500,9.8
24800000,4,4,2500,7
5000000,3,2,1250,10
18000000,3,3,1800,10
12000000,3,3,2722.5,20
4800000,1,1,680,3.6
22500000,4,4,2800,8
16000000,2,1,1960,7.3
21000000,4,4,2450,7
24000000,4,4,2900,7
43000000,6,3,2500,20
18000000,4,4,2200,7
16000000,3,3,1600,10
46000000,4,4,2800,16
6350000,3,2,1400,5.7
24000000,4,4,2850,8
15000000,3,1,1300,11
22000000,4,3,1820,7.63
37000000,4,4,2900,10
11500000,3,1,1200,7.5
26500000,5,3,2400,6.35
54600000,10,6,8500,12
26000000,4,4,3600,10
5500000,2,1,850,4.5
28000000,4,4,1700,3.5
25000000,8,6,3000,18
18500000,4,2,1850,17
37000000,4,4,2900,10
65000000,7,7,5000,15
42500000,6,3,3000,5.9
53000000,5,4,4000,10.25
21000000,4,3,2650,11
12000000,3,2,2300,10
11500000,6,1,2000,22.5
19500000,4,2,1700,7.5
8900000,3,2,1200,10
13500000,3,2,900,3
11500000,3,2,1300,7.5
8500000,3,2,1250,8
3600000,2,1,1200,10
20000000,5,4,4000,18
26500000,4,2,2300,22
36000000,3,3,3000,9
18000000,5,3,2000,7.23
27500000,5,4,3500,10
7800000,2,1,1100,6
13000000,3,3,1200,10
21000000,4,2,2000,7.3
8000000,3,1,1950,9
12000000,1,1,1480,10.7
6500000,4,2,1200,5.5
6800000,3,2,2000,15
7800000,2,1,1100,6
8500000,3,2,1320,10.4
8000000,2,1,1250,7.5
16000000,6,3,4500,12
30000000,4,4,2900,8
31500000,4,3,2150,8.7
175000000,6,8,12000,34.5
16500000,3,4,2200,7.1
12800000,3,3,1300,7.9
21500000,3,2,1200,11
33000000,6,6,3900,12
9800000,3,2,1500,6
14200000,3,3,1580,10
19000000,4,4,2620,8
8700000,2,2,1250,6
7600000,3,1,2500,13.09
45000000,3,2,2000,9.6
31500000,4,3,3000,6.5
7000000,2,1,1497,6
9800000,3,3,2100,7.5
17500000,3,3,2400,13.5
19000000,4,4,2600,8.5
27500000,4,3,2550,8.5
18000000,4,4,2200,8
29000000,4,3,2800,8.33
135000000,6,5,5000,28.3
275000000,4,6,3120,13.5
21500000,4,3,3700,11.2
12500000,3,2,1537,10
12500000,2,1,1000,6.5
35000000,4,4,3150,8
19000000,3,3,2400,10
26000000,5,5,4000,8
18000000,3,3,1800,10
12500000,3,3,1200,7
21000000,4,4,2450,7
20000000,4,4,2500,10
24000000,4,4,2900,7
22500000,4,4,2800,8
8300000,2,1,1600,12
13200000,3,3,1600,12
27000000,5,4,5480,12.8
11000000,3,3,1300,6.5
16000000,3,3,1600,10
18000000,4,4,2200,7
26000000,5,4,3300,8.5
23000000,4,4,2800,9
14900000,2,2,1000,7
230000000,4,2,1890.4,19.5
