location,price,beds,baths,house_size,land_size
Homagama,5500000,3,1,1500.0,20.0
Malabe,30000000,5,4,3500.0,16.0
Dehiwala,50000000,4,4,4400.0,7.0
Pannipitiya,14500000,3,1,1200.0,16.3
Nugegoda,47000000,5,4,4000.0,13.5
Piliyandala,5500000,1,1,850.0,6.5
Homagama,5500000,3,1,600.0,15.0
Malabe,19500000,4,4,2650.0,10.5
Battaramulla,50000000,6,5,3600.0,17.6
Talawatugoda,47500000,5,4,4800.0,10.25
Piliyandala,9500000,3,1,1600.0,10.0
Boralesgamuwa,27500000,4,2,1200.0,8.0
Colombo 5,40000000,5,3,2400.0,7.85
Moratuwa,12500000,3,1,1200.0,6.0
Malabe,23000000,4,3,2128.0,6.0
Kesbewa,12500000,3,3,2000.0,8.0
Malabe,46000000,4,4,3500.0,11.8
Ratmalana,16500000,6,3,3000.0,12.0
Moratuwa,10500000,2,1,1000.0,7.1
Malabe,22500000,4,4,2800.0,10.0
Piliyandala,24000000,5,4,3600.0,11.5
Piliyandala,21500000,5,3,3500.0,24.0
Pannipitiya,8800000,4,2,1300.0,8.0
Moratuwa,17500000,5,4,2600.0,10.5
Athurugiriya,8000000,3,2,1000.0,6.8
Battaramulla,36000000,4,4,3500.0,7.75
Battaramulla,45000000,5,5,3150.0,7.5
Battaramulla,26500000,4,3,2500.0,7.8
Kotte,37000000,5,5,3750.0,9.4
Mount Lavinia,72000000,3,3,4100.0,6.0
Nugegoda,32000000,4,3,2500.0,8.0
Nugegoda,29500000,3,3,2800.0,8.7
Kohuwala,36000000,4,3,2500.0,8.0
Dehiwala,75000000,4,4,2500.0,13.25
Nugegoda,55000000,4,4,3500.0,13.0
Talawatugoda,32000000,4,3,3150.0,9.2
Dehiwala,46000000,4,4,3200.0,16.0
Kesbewa,10500000,3,2,1500.0,8.3
Kesbewa,13000000,4,3,1600.0,11.5
Piliyandala,21000000,4,3,2200.0,7.0
Kesbewa,10000000,2,2,1240.0,6.0
Piliyandala,11800000,3,2,1500.0,6.5
Mount Lavinia,30000000,4,3,5000.0,12.0
Dehiwala,95000000,6,5,4500.0,25.0
Homagama,17000000,4,3,3000.0,16.25
Maharagama,42000000,5,3,3968.0,13.64
Hanwella,16900000,3,2,2700.0,28.0
Talawatugoda,13500000,4,3,1850.0,7.0
Dehiwala,40000000,5,5,4300.0,12.5
Talawatugoda,35000000,4,4,3000.0,8.8
Piliyandala,22000000,4,4,1130.0,8.3
Colombo 6,60000000,5,5,3500.0,8.6
Rajagiriya,22000000,5,2,2723.0,10.0
Talawatugoda,45000000,4,4,4000.0,12.0
Kottawa,14000000,3,2,1288.0,8.0
Kaduwela,16000000,3,3,2200.0,6.8
Kottawa,18000000,5,4,2880.0,7.8
Hanwella,15000000,3,1,2034.0,14.7
Athurugiriya,19000000,4,4,2400.0,8.0
Maharagama,15500000,4,2,1300.0,6.8
Kottawa,14000000,3,1,1950.0,18.5
Kaduwela,19000000,4,2,2000.0,14.0
Athurugiriya,4600000,2,1,1144.0,10.0
Colombo 5,6300000,2,1,1000.0,6.9
Battaramulla,30000000,4,2,2200.0,13.0
Ratmalana,18000000,3,2,2450.0,10.0
Nugegoda,75000000,5,4,4850.0,21.5
Kaduwela,6700000,3,1,1200.0,12.0
Kottawa,90000000,4,4,4200.0,40.0
Kesbewa,6900000,2,1,1000.0,9.3
Colombo 5,80000000,3,2,3000.0,20.0
Battaramulla,42000000,5,3,2800.0,15.0
Malabe,35000000,6,6,3800.0,12.0
Mount Lavinia,21000000,4,3,1750.0,4.0
Kottawa,26000000,4,2,2700.0,13.0
Nawala,130000000,5,4,6000.0,22.5
Maharagama,27500000,4,4,2000.0,8.0
Athurugiriya,7900000,3,2,1500.0,6.0
Colombo 5,10000000,3,1,1500.0,10.0
Nugegoda,29000000,4,3,2800.0,8.33
Talawatugoda,13800000,4,3,1880.0,6.8
Malabe,16200000,4,1,1800.0,13.5
Nugegoda,21000000,3,3,1300.0,17.0
Pannipitiya,18000000,3,3,2700.0,14.0
Kottawa,12500000,3,3,1650.0,8.5
Kottawa,16500000,3,2,2027.0,14.3
Homagama,34000000,4,1,2000.0,60.0
Athurugiriya,9975000,4,2,2200.0,11.23
Talawatugoda,32500000,4,4,3500.0,11.0
Pannipitiya,13000000,3,3,1500.0,10.7
Malabe,33000000,6,5,3900.0,12.0
Malabe,105000000,5,5,6600.0,40.0
Kottawa,32500000,6,2,3000.0,15.0
Kohuwala,30000000,4,2,2600.0,11.0
Pannipitiya,16000000,5,3,2000.0,11.5
Colombo 10,7500000,3,2,1200.0,4.4
Maharagama,18000000,2,2,1500.0,7.0
Maharagama,22000000,4,3,2850.0,8.0
Athurugiriya,18000000,4,2,2537.0,6.3
Nugegoda,32000000,3,2,2000.0,6.1
Kottawa,10000000,2,1,700.0,7.5
Angoda,18500000,4,1,3000.0,18.44
Talawatugoda,30000000,3,3,2500.0,11.0
Nugegoda,42000000,5,4,3455.0,12.25
Piliyandala,7200000,3,2,2500.0,11.5
Kotte,39000000,5,5,4000.0,10.0
Athurugiriya,8000000,2,2,1800.0,6.0
Boralesgamuwa,22000000,4,2,1100.0,13.0
Dehiwala,80000000,9,4,5000.0,20.0
Piliyandala,11000000,4,2,1638.0,6.8
Boralesgamuwa,25000000,5,3,2725.0,12.0
Piliyandala,16000000,4,2,2100.0,6.0
Kesbewa,16000000,4,2,2100.0,6.0
Kesbewa,8700000,2,2,1250.0,6.0
Mount Lavinia,56000000,9,7,4500.0,10.0
Battaramulla,29000000,4,4,3000.0,6.0
Athurugiriya,11000000,3,3,1400.0,9.0
Athurugiriya,27000000,5,4,5480.0,12.8
Malabe,16000000,3,2,1600.0,10.0
Dehiwala,29000000,5,2,1600.0,7.0
Athurugiriya,6400000,2,1,1000.0,6.0
Dehiwala,40000000,4,3,3000.0,14.0
Ratmalana,9500000,3,1,1600.0,7.0
Nugegoda,40000000,3,3,2400.0,14.5
Colombo 10,4000000,2,2,1000.0,1.7
Malabe,28000000,4,5,3500.0,6.0
Malabe,68000000,6,6,5300.0,21.0
Talawatugoda,12000000,4,2,1976.0,6.85
Kotte,55000000,3,3,2000.0,20.0
Kesbewa,12500000,4,3,1850.0,9.0
Nugegoda,42000000,4,3,2980.0,8.0
Talawatugoda,28000000,6,4,3650.0,12.5
Malabe,15500000,6,3,2500.0,12.0
Dehiwala,28000000,4,2,2000.0,7.0
Piliyandala,13000000,4,2,1550.0,7.0
Kottawa,13000000,4,2,1550.0,7.0
Kesbewa,12800000,3,1,1200.0,7.5
Battaramulla,8000000,2,1,671.0,3.0
Malabe,7200000,2,1,1000.0,6.0
Kottawa,26000000,4,4,2900.0,10.0
Malabe,46000000,5,4,3500.0,11.8
Kottawa,12000000,3,1,1100.0,6.5
Nugegoda,75000000,3,2,2000.0,36.0
Dehiwala,5500000,2,1,871.0,3.0
Piliyandala,14000000,3,2,1200.0,9.7
Athurugiriya,20000000,4,3,2700.0,10.0
Nawala,37500000,3,1,1200.0,10.56
Nawala,57000000,4,3,3000.0,7.5
Nawala,85000000,4,3,2100.0,13.32
Nawala,98000000,4,4,3500.0,9.7
Boralesgamuwa,15000000,3,2,2000.0,8.25
Wellampitiya,6300000,3,2,1000.0,5.25
Talawatugoda,57500000,5,5,3800.0,20.0
Padukka,5000000,2,1,1200.0,18.0
Talawatugoda,42000000,5,5,4000.0,12.5
Homagama,6900000,4,2,1500.0,10.0
Colombo 5,40000000,10,10,1500.0,70.0
Colombo 6,50000000,3,2,2500.0,6.5
Piliyandala,16500000,6,3,2800.0,18.0
Pannipitiya,39500000,4,4,4000.0,20.0
Boralesgamuwa,27500000,4,4,3000.0,10.0
Piliyandala,9000000,2,2,1250.0,6.0
Piliyandala,16000000,4,4,3200.0,7.2
Athurugiriya,19500000,4,3,2850.0,7.5
Ratmalana,9600000,3,2,650.0,5.9
Nugegoda,220000000,4,4,4000.0,14.5
Battaramulla,38000000,4,4,3500.0,10.0
Colombo 5,45000000,3,2,2000.0,5.6
Mount Lavinia,21000000,4,3,2000.0,4.0
