location,price,beds,baths,house_size,land_size,New,Garden,Security,AC,Near Service,Stories,Parking,Luxury,Pantry,Hot Water,Roller Gate,CCTV,Tiled,Designed,TV Lobby
22,16000000,5,5,2600,10,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0
25,15900000,3,3,2650,4,1,0,0,1,1,2,1,1,1,1,0,0,0,1,0
9,9000000,3,2,1500,10,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
17,30000000,5,4,2600,10,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
11,33500000,5,4,3800,7.8,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0
34,2600000,3,3,1800,12.5,1,0,0,0,1,2,1,0,1,0,1,0,0,0,0
28,28500000,10,10,2750,7,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0
9,11000000,3,1,1800,20,1,0,0,0,1,2,1,0,1,0,0,0,1,0,0
9,27500000,5,3,3700,18.5,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
22,8900000,3,2,1450,10,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0
22,12000000,3,3,1400,7.75,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
9,17500000,4,2,2470,10,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0
17,18700000,3,3,1800,7.13,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
31,48000000,5,4,2750,20,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
7,35000000,4,3,3100,6,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0
31,38500000,6,4,2905,9.86,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
7,40000000,4,3,3000,10,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
30,65000000,5,5,4000,11.2,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0
32,65000000,5,3,3000,10,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
34,15000000,5,2,2500,6.5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
11,23500000,4,3,2500,6,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0
31,59000000,5,5,5500,12,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
