location,price,beds,baths,house_size,land_size
Nugegoda,15000000,2,1,1400,7.5
Piliyandala,68000000,5,4,3600,9.5
Kotte,55000000,10,5,3500,12
Kottawa,19000000,4,4,2620,8
Moratuwa,3900000,3,2,2000,15
Piliyandala,8700000,2,2,1250,6
Athurugiriya,16000000,4,3,2200,7
Talawatugoda,12000000,3,2,1100,5.1
Ratmalana,6300000,2,1,600,1
Piliyandala,15900000,6,3,2750,8.5
Athurugiriya,18000000,4,4,2200,8
Dehiwala,55000000,4,3,2000,15.2
Athurugiriya,13500000,3,3,1650,10
Moratuwa,7000000,4,1,2000,7
Malabe,24000000,4,4,2900,7
Talawatugoda,35300000,4,4,3200,10.5
Moratuwa,7000000,2,1,1500,10
Malabe,27000000,3,2,1500,10
Homagama,11000000,3,2,1500,11
Homagama,6800000,3,2,1200,10
Pannipitiya,24800000,4,4,2500,7
Pannipitiya,21000000,4,3,2500,9
Battaramulla,16500000,3,2,2200,7.1
Kottawa,20000000,4,4,2500,8
Malabe,18000000,4,4,2200,7
Malabe,18000000,3,3,2300,6.5
Kotte,24000000,6,3,2850,7
Battaramulla,18000000,3,3,1800,10.5
Malabe,23000000,4,4,2800,9
Colombo 6,128250000,4,2,2000,22.5
Malabe,12800000,3,3,1300,7.9
Homagama,5800000,2,1,720,6
Colombo 15,50000000,7,4,3000,17.75
Malabe,20000000,4,4,2500,10
Kohuwala,140000000,9,6,2200,20
Dehiwala,8900000,5,2,1500,2.5
Malabe,16000000,7,4,3000,21
Ratmalana,13500000,3,2,1600,6
Malabe,14000000,5,4,1950,6.6
Malabe,29000000,4,3,3200,10.5
Homagama,24000000,5,3,3000,9.5
Homagama,2800000,2,1,1200,5.8
Moratuwa,15900000,4,3,2200,8
Homagama,31500000,5,4,4000,6
Pannipitiya,11000000,3,1,2000,9.3
Boralesgamuwa,32000000,4,5,3223,6.2
Pannipitiya,40000000,4,3,3800,22
Malabe,22500000,4,4,2800,8
Talawatugoda,80000000,4,4,4800,18.5
Colombo 9,6500000,2,1,850,800
Malabe,33000000,6,6,3900,12
Colombo 7,525000000,4,6,11715,22.3
Talawatugoda,35000000,4,4,3250,8
Piliyandala,9800000,3,2,960,10
Colombo 4,200000000,6,4,4000,8.8
Wellampitiya,12500000,4,2,1520,4.5
Kohuwala,30000000,3,3,2850,7.5
Talawatugoda,34000000,4,3,2850,7.5
Malabe,18500000,3,2,1950,8
Colombo 5,130000000,4,2,1850,23
Kotte,29000000,6,3,2650,9.6
Talawatugoda,78000000,6,6,6000,11.3
Pannipitiya,25000000,5,4,2800,10
Malabe,23000000,4,4,3000,8
Nawala,41000000,3,2,2600,11
Talawatugoda,34000000,4,4,3300,8
Kesbewa,13000000,4,3,1900,10
Padukka,5900000,3,1,1200,12
Pannipitiya,21000000,4,3,2600,10.7
Talawatugoda,33500000,5,4,4200,7
Kotte,130000000,4,3,3500,26
Kottawa,13000000,3,2,1400,8
Kaduwela,13000000,3,2,2000,14
Athurugiriya,29500000,4,3,4500,11
Kottawa,11700000,3,2,1550,8.7
Nugegoda,37500000,5,5,4000,6
Pannipitiya,12900000,3,2,1200,10.9
Maharagama,15500000,3,1,1500,10.8
Mount Lavinia,23000000,5,5,2500,11.6
Kaduwela,150000000,5,2,1600,13
Athurugiriya,7500000,3,2,1050,6
Piliyandala,11000000,4,2,2624,8.5
Kottawa,9700000,3,2,1100,7.4
Kottawa,400000000,7,6,3500,10
Nugegoda,38500000,6,4,2900,9.85
Hanwella,11000000,5,2,1100,12
Colombo 5,250000000,6,7,3800,15
Nugegoda,31100000,3,2,7988,7.5
Colombo 5,125000000,5,4,4200,12
Battaramulla,12500000,3,2,1400,10
Nugegoda,250000000,6,7,3500,15
