,0,1,2,3,4,5,6,7,8
46,Apartment for sale in Rajagiriya, 8 Jul  1:02 pm,"Rajagiriya, Colombo","48,000,000",- 3 bedrooms and 3 bathrooms - maids room and bathroom- 1650 sqft - pool and gym- rooftop area- kids play area - food city and cafe area,3,3,"1,650 sqft",
47,3 BR Apartment | Rajagiriya - Iconic for Sale, 8 Jul  1:02 pm,"Rajagiriya, Colombo","48,000,000",This is 3 bedrooms and 3 bathrooms apartment maids room and toilet 1650 sqft ,Parliament Road Rajagiriya,3,3,"1,650 sqft"
48,Rajagiriya Wind Crest Apartment | for Sale - A0504, 6 Jul  9:24 pm,"Rajagiriya, Colombo","24,500,000","DESCRIPTION It is a three bed roomed spacious apartment situated in the consists of a spacious sitting & dinning room, three bed rooms including a spacious master bed room with an attached bathroom, servant room and common bathroom, an elegant pantry with fitted cupboards & two balcony areas.",3,2,"1,395 sqft",
49,3BR Apartment | Rajagiriya - Iconic for Sale, 8 Jul  1:02 pm,"Rajagiriya, Colombo","50,000,000","Fully furnished apartment is in the ICONIC RESIDENCIES, 1650 SQFT. 3 Bed rooms, 4 full bathrooms, Living, dining area, fully equipped kitchen with refrigerator, stove, oven, microwave, washer and dryer. Separate section with a separate full bathroom for maid facilities. All Teak hard wood floors. L shape balcony with views. 24/7 security and maintenance services. The place also has a well equipped gym, pool, tennis court, laundry service, ATM, and a small cafeteria. On Premises food city grocery store. 1 assigned parking spot. The apartment is on sale and move-in ready !Price is 50M LKR Call Krishantha Bandara Visit More properties - www.remax.lk/krishantha",Parliament Road Rajagiriya,3,2,"1,650 sqft"
50,Apartment for sale rajagiriya 3 Bed 2 Bath,19 Jul  2:27 pm,"Rajagiriya, Colombo","32,800,000",Home land Sky Line semi Luxury Apartments• Three bedrooms with one attached bathroom and one common bathroom • Dinning area• Living area• Open pantry and kitchen• servant room and toilet • Four balconies one large balcony,Darmapala road rajagiriya,3,2,"1,400 sqft"
51,Brand New Apartment For Immediate Sale - Rajagiriya,20 Jul 11:09 am,"Rajagiriya, Colombo","35,000,000",Brand New Apartment for Immediate Sale in Rajagiriya ,418 Rajagiriya Road,3,2,"1,329 sqft"
52,2 Bed Rooms Normal Aparment Rajagiriya,24 Jun  1:07 pm,"Rajagiriya, Colombo","5,600,000",2 Bed Rooms Normal House at Rajagiriya ,200meters to Rajagiriya town,2,1,"1,100 sqft"
53,Apartment for Sale in Rajagiriya (723 B),22 Jun  9:48 am,"Rajagiriya, Colombo","46,000,000",Higher Floor available with Three bedrooms (wall Cupboards an Dressing Tables) and Two bathrooms (One attached and One common)1700 square feet  ,RAJAGIRIYA,3,2,"1,700 sqft"
54,New Luxury Apartment for Sale in Rajagiriya,17 Jun  2:21 pm,"Rajagiriya, Colombo","45,000,000","Brand new. On a higher floor with a great view. Floor area 1,680 sq.ft. It has 3 bedrooms and 3 bathrooms. Unfurnished. Fully air conditioned. Hot water in both bathrooms. Separate maid’s quarters and 2 parking slots available. Apartment complex has a swimming pool, gym, and rooftop terrace. Price Rs. 45Mn.",3,3,"1,680 sqft",
55,Luxury Apartments for Sale in Rajagiriya,23 Jul  9:25 am,"Rajagiriya, Colombo","110,000,000","Sky Gardens Apartment unit for Sale in Perera Mawatha, Rajagiriya","Sky Gardens, Perera Mawatha, Rajagiriya",4,4,"4,000 sqft"
56,Ground Floor Apartment in Rajagiriya,15 Jul  6:55 pm,"Rajagiriya, Colombo","16,500,000","Residential area of Rajagiriya off Medawelikada Road , access from Rajagiriya Rd and Dharmapala Mawatha, one apartment of only four apartment complex, large bedrooms with one ensuite, varanda, sitting room , dining room ,pergola , fitted kitchen , fully tiled, covered parking for one vehicle , 13 yrs old, solidly built, needs only cosmetic changes, quick sale, owners abroad, contact",3,2,"2,000 sqft",
57,Brand New Luxury 3 Bedroom Apartment Residencies) Rajagiriya-,23 Jul 12:07 pm,"Rajagiriya, Colombo","37,000,000","Brand New Spacious 3 Bed room apartment with separate maid room and private balconies at 6th floor ( 9th Level) with Scenic city view. Floor area 1512Sqft with fully equipped gym and infinity roof top pool. 1.5 km from the city in a highly residential area with excellent road network, supermarkets, Schools around.(Ready to Occupy)",Rajagiriya,3,3,"1,512 sqft"
58,Luxury Apartments for Sale in Rajagiriya,23 Jul  9:25 am,"Rajagiriya, Colombo","42,000,000","Fairway Residencies Apartment unit for Sale in Buthgamuwa Road, Rajagiriya ","Fairway Residencies , Buthgamuwa Road, Rajagiriya",3,2,"1,760 sqft"
59,Apartment for Sale at Iconic [AS14], 9 Jun  6:26 pm,"Rajagiriya, Colombo","65,000,000",Sparingly used three bedroom apartment for sale at Iconic Residencies. The apartment is presently in excellent condition and will be offered inclusive of all essential furniture and appliances. Conveniently located in Rajagiriya off Parliament Road within close proximity to all modern day conveniences. ,"Iconic Residencies, 110, Parliament Road, Rajagiriya",3,3,"2,150 sqft"
60,Apartment for Sale at Iconic [AS13], 9 Jun  6:25 pm,"Rajagiriya, Colombo","45,000,000",Sparingly used three bedroom apartment for sale at Iconic Residencies. The apartment is presently in excellent condition and will be offered inclusive of all essential furniture and appliances. Conveniently located in Rajagiriya off Parliament Road within close proximity to all modern day conveniences. ,"Iconic Residencies, 110, Parliament Road, Rajagiriya",3,2,"1,600 sqft"
61,Coral Lake Menara - Rajagiriya, 7 Jun  7:03 pm,"Rajagiriya, Colombo","39,160,000","CORAL LAKE MENARA PROMISE🔑Infinity pool overlooking the Diyawannawa Lake🔑Rooftop with barbeque area🔑6-story building with a dedicated car park for each unit🔑Disabled-friendly car parking and toilet facilities🔑Fire rated doors for staircase🔑The perfect balance of lighting, ventilation and privacy🔑Master bedroom with air conditioner (LG or equivalent) and provisions for A/C in living and other rooms🔑24-hour security with full CCTV coverage🔑2 passenger lifts🔑Fire protection system in accordance with fire department regulations🔑Intercom facility from the security office to each apartment🔑Soffit and wall mounted energy saving LED lighting in common areas🔑State-of-the-art gym🔑Three-phase electricity🔑Safe lighting arrester system🔑Private balconies for living rooms and bedrooms🔑Air conditioned garbage storage area🔑Hot water (Ariston or equivalent geyser) in Master bathroom and provision for visitor bathroom🔑Mahogany doors & pantry cupboards",5th Lane - Rajagiriya,3,2,"1,780 sqft"
62,Coral Lake Menara - Rajagiriya, 7 Jun  4:18 pm,"Rajagiriya, Colombo","36,740,000",🛌 3 Bedrooms 🛀 2 Bathrooms📉 1670 sqft🌁 City view ,"No 5th Lane Parliament Road , Rajagiriya",3,2,"1,670 sqft"
63,Apartment for Sale in Rajagiriya, 8 Jul  1:02 pm,"Rajagiriya, Colombo","48,500,000",- Large 3 bedrooms and 2 bathrooms - 1920 sqft- Ac- Living and dining area- maids room and toilet - Rooftop area and swimming pool - Gym- garden area - kids play area- Fully furnished- Price is 48.5M,3,2,"1,920 sqft",
64,3BR Apartment | Rajagiriya - Fairmount Residencies For Sale, 8 Jul  1:02 pm,"Rajagiriya, Colombo","48,500,000",Large 3 bedrooms and 2 bathrooms maids room and toilet 1920 sqft ,Perera Mawatha,3,2,"1,920 sqft"
65,Bella Rajagiriya Apartments for Sale, 4 Jun  8:46 am,"Rajagiriya, Colombo","26,500,000","Our latest apartment project now open for sale. The new apartment project is located in Rajagiriya, Sri Lanka.",2,2,"1,066 sqft",
66,Wrendale Apartmetns for Sale - Rajagiriya, 4 Jun  8:44 am,"Rajagiriya, Colombo","48,100,000","Our latest apartment project now open for sale. The new apartment project is located in Rajagiriya, Sri Lanka.",3,2,"1,501 sqft",
67,Flat for Sale in Rajagiriya -Splendour, 4 Jun  1:49 am,"Rajagiriya, Colombo","42,000,000",SPLENDOUR,3,2,"1,500 sqft",
68,Apartment for Sale in Flemington Rajagiriya, 3 Jun 10:21 pm,"Rajagiriya, Colombo","31,500,000","Nestled just 500m from Colombo, in Rajagiriya, The Flemington offers 30 elegant condominiums designed by award-winning architect Darnie Rajapakse who won the Award of Merit at the Best Design Awards 2014 for Jungle Beach Resort by Uga.  The unique designs of The Flemington is influenced by Australian concepts that provide ample space inside with unprecedented privacy amidst big city living as in Melbourne and Sydney.",3,2,"1,250 sqft",
69,3BR Apartment in Iconic Rajagiriya,12 Jul 10:04 pm,"Rajagiriya, Colombo","55,000,000",• Our Reference No - SA 152(Please quote this reference number when inquiring),Rajagiriya,3,3,"1,700 sqft"
70,Furnished Luxury Apartment for Sale at Clear Point Rajagiriya, 6 Jul  7:09 pm,"Rajagiriya, Colombo","58,500,000",APARTMENT FOR SALE Clearpoint Rajagiriya,Clearpoint Rajagiriya,3,2,"2,500 sqft"
71,Three Bed Apartment for Sale in Rajagiriya [AS15],31 May 10:39 pm,"Rajagiriya, Colombo","38,500,000","Brand new, three bedroom apartment for sale at Prime Splendour, Rajagiriya. Conveniently located on Rajagiriya Road, only 1.2 km from Cotta Road & Rajagiriya Flyover Junction. The apartment is located on a high floor level and offers spectacular views from the living area and all three bedrooms. ","Prime Splendour Residencies, Rajagiriya Road, Rajagiriya",3,2,"1,512 sqft"
72,4 Bedrooms Apartment for sale in Rajagiriya, 8 Jul  1:02 pm,"Rajagiriya, Colombo","55,000,000",- 2146 sqft- Ac- 2 parking spaces- Swimming Pool- Kiddies Pool- Fully Equipped Gym- Lounge- Banquet Hall- Meeting Room- Drivers Lounge- Club House- Badminton and Squash court- Tennis court- Basketball court- Games Room- Diner- Mini Mart- Price is 55M LKR,4,4,"2,146 sqft",
73,Apartment for Sale in Rajagiriya, 8 Jul  1:02 pm,"Rajagiriya, Colombo","40,000,000","- 3 bedrooms and 2 bathrooms - maids room and toilet - 1740 sqft - Unfurnished- waterfront view - swimming pool and gym- garden area, clubhouse - Price is 40M LKR",3,2,"1,740 sqft",
74,Brand New Apartment for Sale at Rajagiriya, 6 Jul  3:07 pm,"Rajagiriya, Colombo","47,000,000",This unit is on the 8th floor of the brand new apartment complex by Prime. Its strategic location gives the owner of the property easy access in to Colombo whether be it work or to drop kids off to school.,Sri Jayawardenepura Mawatha,3,3,"1,655 sqft"
75,4BR Apartment Rajagiriya - Element Residencies For Sale, 8 Jul  1:02 pm,"Rajagiriya, Colombo","55,000,000",ELEMENTS BY FAIRWAY – 4 Bedrooms Luxury Apartment for SALE – Rajagiriya,Buthgamuwa Road,4,4,"2,146 sqft"
76,3BR Apartment | Rajagiriya - Fairway waterfront For Sale, 8 Jul  1:02 pm,"Rajagiriya, Colombo","40,000,000",Waterfront view Apartment For sale In Rajagiriya.,Buthgamuwa Road,3,2,"1,740 sqft"
77,"Unique, Luxurious Apartment at Rajagiriya",28 May 11:19 am,"Rajagiriya, Colombo","37,400,000","CORAL LAKE MENARA PROMISEInfinity pool overlooking the Diyawannawa LakeRooftop with barbeque area6-story building with a dedicated car park for each unitDisabled-friendly car parking and toilet facilitiesFire rated doors for staircaseThe perfect balance of lighting, ventilation and privacyMaster bedroom with air conditioner (LG or equivalent) and provisions for A/C in living and other rooms24-hour security with full CCTV coverage2 passenger liftsFire protection system in accordance with fire department regulationsIntercom facility from the security office to each apartmentSoffit and wall mounted energy saving LED lighting in common areasState-of-the-art gymThree-phase electricitySafe lighting arrester systemPrivate balconies for living rooms and bedroomsAir conditioned garbage storage areaHot water (Ariston or equivalent geyser) in Master bathroom and provision for visitor bathroomMahogany doors & pantry cupboards","5th Lane, Rajagiriya",3,2,"1,700 sqft"
