,0,1,2,3,4,5,6,7,8
30,වන්දනා කරුවන් සදහා නවාතැන් පහසුකම් අනුරාධපුර, 8 Jun  5:00 pm,"Anuradhapura, Anuradhapura","2,500",අනුරාධපුර වන්දනවේ පැමිනෙන ඔබටනිදන කාමර 3ක් යාබද නාන කාමර සහිතව 16 දෙනෙකුට නවාතැන් ගතහැකි  සියලුම උපකරණ සහිත මුලුතැන්ගෙය හා ටිවි පහසුකම් සහිත නිවස රාත්‍රියක් සදහා රු 5000/=7 දෙනෙකුට නවාතැන් පහසුකම් ඇති යාබද  නානකාමර සහිත ඇනෙක්සිය රාත්‍රියක් සදහා රු 2500/=දුම්‍ රියෙන් පැමිනෙන  බැතිමතුන් සදහා අටමස්ථාන වන්දනා කිරිමට වැන්‍ රථ පහසු මිලට සපයාදිය හැකආරක්ශිත ගේමිදුලේ වාහන නවතා තැබිමේ පහසුකම් ඇත,525/46 2 වන පියවර  අනුරාධපුර,Holiday bungalow,3,3
31,Nimnara Niwasa - Anuradhapura, 8 Jun  4:51 pm,"Anuradhapura, Anuradhapura",600,අනුරාධපුර නව නගරයේ පිහිටි නිම්නාර නිවස තුලින් ආරක්ශිත සුව පහසු නවාතැන් ඔබට ලබාගත හැකියසුව පහසුව 20 දෙනෙකු සදහා නවාතැන් පහසුකම් ගතහැකඉහල මාලයේ කාමර 2කින් හා විසිත්ත කාමාර මුලිතැන්ගෙයකින් සමන්විත ඇති අතර එහි 12-15 අතර නවාතැන් ගතහැකිය එක් අයෙකු සදහා අයකිරිම 600/=ෆැමිලි බෙඩ්  ඩබල් බෙඩ් 2ක් සින්ගල් බෙඩ් 3 සම්න්විතය විදුලි පංකා හා මදුරු දැල් සහිතයිආහාර පිලියල කරගැනිමේ පහසුකම් මුලුතැන්ගෙය තුලින් ඔබට අවශ්‍ය පරිදි ආහාර පියලියල කර ගැනිමට හෝ ප්‍රනිත ආහාර  පිලියල කර දියහැකකිරි ආහාර නොමිලේ පිලියල කර දෙනු ලැබේජය ශ්‍රී මහා බෝධියට රුවන්වැලිසෑය කි.මි 3නව බස්නැවතුපලට කි.මි 1/2 දුරකි,Holiday bungalow,3,3,
32,Family Rooms in Anuradhapura Town,12 Jul 11:17 am,"Anuradhapura, Anuradhapura","1,500","- අනුරාධපුර නව නගර දුම්රිය ස්ථානයටත්, නව බස්නැවතුම්පලටත් ආසන්නව පිහිටා ඇත.- අනුරාධපුර පුජා නගරයට අනුරාධපුර ශ්රි මහා බෝධියට හා රුවන්වැලි සෑයට 4km දුරකි. විනාඩි 10කින් යා හැකි අතර සුවපහසු ආරක්ෂිත නවාතැන් පහසුකම්. .- එකවර 28 කට පමන නවාතැන් පහසුකම් සැපයිය හැක. අවශ්ය නම් රථ (Van) අටමස්ථානය වන්දනාකර ගැනිම සදහා සැපයිය හැක.- නිදන කාමර 07ක් සහිතය ( AC-2500/- , Non AC-1500/- සිට ඉහලට) ,Kitchen(gas පහසුකම් ද ලබා ගත හැක).- Double room - 1500/-   Triple room   - 1800/-   Family room -  2000/-  Large family room - 4000/-- කිරි ආහාර සකසා ගැනිම සදහා පහසුකම්.Tv පහසුකම්,වාහන නාවතා තැබීමේ පහසුකම්. කුඩා වන්දනා නඩ හෝ කුඩා පවුල් සඳහා පමනි.- දීර්ග කාලින වෙන් කරවා ගනීම් සදහා විශේෂ මිල අඩු කිරීම්.-Comfortable AC/Non AC rooms with nice & clean double beds and attached bathrooms.( Non A/C Rs.1500/- upwards and A/C Rs.2500 per night )- 7 rooms are available and 28 person can stay per night.- Kitchen available for your cooking purposes with all equipment.- Tv lobby.- Anuradhapura sacred city(puja nagaraya) 4 km.Anuradhapura new railway station 2 km and   Anuradhapura bus-stand 2 km.","2829/11, stage 3, Anuradhapura",Seasonal room,10+,7
33,Holiday House for Rent - Anuradhapura,13 Jul  4:30 pm,"Anuradhapura, Anuradhapura","2,000",සසිදු හොලිඩේ හොම්ස්නිස්කලංක පරිසරයක පිහිටි පිරිසිදු ආරක්ශිත වටපිටවක් සහිත නිවස නිදන කාමර 3 කි.එහි ඩබල් ඇදන් 6 සහිතයි අතුලත හා පිටත නාන කාමර 2 යුක්තයි සියලුම ගෘහ උපකරණ හා සාලය කැම කාමරය මුලුතැන්ගෙයක අංග සම්පුර්ණව ඇතකිරි ආහාර හා ආහර පිස ගැනිමේ පහසුකම් සහිතයි වාහන 4-5 වුවද නවතා තැබිය හැකි සුන්දර ගෙවත්තශ්‍රී මහා බෝධියට විනාඩි 10-15 ලගාවිය හැක කාර්පට් පාර  12-15 අතර කණ්ඩායමකට පහසුවෙන් ගත. හැකි නිවස දිනකට රු.3500/=8 දෙනෙකුකට පහසුවෙන් නවාතැන් ගතහැකි කාමර 2 දිනකට රු 2000/=,12 විජය මාවත ඉසුරු පුර අනුරාධපුර,Holiday bungalow,3,2
34,Selagala Hotel - Anuradhapura, 4 Jun  9:30 am,"Anuradhapura, Anuradhapura","1,500","Selagala Hotel is a comfortable place to stay. Walking distance to new town and very close to old town bus stand. Can reach to the city and sacred city  in a few minutes. The hotel has comfortable double bedrooms and family bedrooms. Some rooms have air conditioned facility. Restaurant, living room and lobby area available. Large garden area comes with parking space. Room basis and the entire premises can be taken for groups.Budget room Rs.1500/ - Rs.3000/Standard Room  Rs.2500/-  Rs.3500/We have small budget house with an attached bathroom and outdoor bathroom. Television is available.Rs.2500/ for 5 guestsRs.4000/ for 10 guestsRs.5000/ for guests",Holiday bungalow,5,5,
35,Holyday Bungallow - Unagaswewa,13 Jul  4:31 pm,"Anuradhapura, Anuradhapura","6,000",Newly built house. Whiich is located 10 minutes away from town .it has enough parking facility. There sre 4 rooms .more than 20 person can occupy..it is  Clean.there is a room for driver or labourer.buses can be parked easily,Unagaswewa.  Anuradhapura,Holiday bungalow,10+,5
36,Boa Vista Hotel - Anuradhapura, 4 Jun  6:08 am,"Anuradhapura, Anuradhapura","1,500","Boa Vista Hotel is very conveniently located within very close proximity to Sri Maha Bodhi and other main sacred places. Facing to right in front of Tisawewa and can enjoy the stunning view of the tank. Just a few minutes drive to the city center.The hotel has both air conditioned standard rooms and low rate budget rooms. All rooms come with en-suite bathrooms. Large restaurant with on site staff, secure parking and more amenities available.Room rates Rs.1500/ upwards",Holiday bungalow,10,10,
37,Comfortable Rooms for Rent in Anuradhapura,10 Jun  8:28 pm,"Anuradhapura, Anuradhapura",900,"D. S. Senanayake Road, New Town, Anuradhapura.10 Bed room, Living area, Dining area, Kitchen, Very Good and clean attached bathrooms, Verandah.Located within Anuradhapura Municipal Council limits and Anuradhapura Sacred City. Very closer to the Mirisvetiya, Sri Mahabodhiya, Ruwanweliseya and other religious places. 2Km to Thisawewa and Sacred city 2 minutes from Railway station and New Town.4-5 vehicle can be parked.Furniture; 10 big bed with""Arpico"" mattress and mosquito nets, dining table with 6 chairs, sofa, Ceiling fans, AC and kitchen utensils,Electricity and Water supply are available This is a prime location and you can stay and rest as a traditional village home""Kiri Ahara can be Prepared""","New Town, Anuradhapura",Seasonal room,10,10
38,Happy Place Family Resort Anuradhapura,25 May  7:04 pm,"Anuradhapura, Anuradhapura","1,500",Happy place family resort anuradhapura නිස්කලංක පරිසරයක පිහිටි අනුරාධපුර නව නගරයේ මල්වතු ඔය ආසන්නව පිහිටා ඇත විනාඩි පහකින් පූජා නගරයට ළඟා විය හැක මෙම බංගලාවේ කාමර පහක් හා විශාල  ශාලාවකින් (20×20)  ඔප්න් එරියා එකින් හා අංග සම්පුර්ණ මුලුතැන්ගෙයකින් හා මුලු ගෙබිමම ටයිල් කර ඇත එක් කාමරයක් ඩබල් ඇදන් දෙකක්(6*5)  මදුරු දැල් විදුලි පංකා යාබද නානකාමර සමන්විත සුව පහසුකම්රුපවාහිනි ශිතකරණ වාහන නැවතිමේ පහසුකම් රියදුරු කාමර හාආහාර පිසගැනිමේ පහසුකම් සහිත මුලුතැන්ගෙයසුන්දර මල්වතු ඔයට පයින් යන දුර,Seasonal room,5,4,
39,Rooms for Rent in Anuradhapura,16 Jul  2:22 pm,"Anuradhapura, Anuradhapura",950,"Villa Nature Park provides low rates accommodation for guests. This budget bungalow located near the sacred city and 200 meters from Mihintale road. Very close to Nuwarawewa. Rooms come with attached bathrooms and first floor consists with a balcony. Living area, kitchen facility and in side parking available. Ac & Non Ac rooms.Room rates Rs.950/ -  Rs.3500/Full bungalow Rs.5500/-  Rs.10000/  depend on number of guests","Mihintale Road, Anuradhapura",Holiday bungalow,5,5
