,Location,Price,Beds,Baths,House Size,Land Size
420,3,12500000,3,2,1400.0,10.0
421,32,250000000,6,7,3500.0,15.0
422,38,36000000,4,4,3000.0,8.8
423,3,45000000,4,3,3800.0,10.0
424,34,39000000,5,3,4000.0,7.2
425,3,255000000,4,4,3500.0,23.5
426,4,24000000,4,3,2300.0,7.0
427,26,30000000,3,3,2250.0,6.38
428,36,30000000,4,1,1700.0,5.5
429,4,21000000,5,3,2500.0,9.8
430,25,13000000,3,3,1580.0,8.0
431,28,22500000,4,4,2800.0,8.0
432,25,20000000,4,4,2100.0,10.1
433,25,15500000,3,3,1645.0,7.0
434,4,24000000,4,3,2850.0,7.0
435,28,19000000,3,3,2400.0,10.0
436,28,24000000,4,4,2900.0,7.0
437,28,16500000,3,2,1550.0,10.0
438,3,120000000,4,4,4000.0,17.4
439,29,50000000,4,3,3500.0,19.0
440,4,23000000,5,2,2500.0,8.6
441,13,36000000,4,2,2500.0,6.5
442,35,22000000,4,3,2200.0,8.0
443,35,8700000,2,2,1250.0,6.0
444,34,13000000,3,3,1650.0,8.5
445,13,25000000,4,2,2500.0,7.0
446,3,45000000,4,5,2800.0,7.5
447,27,33000000,8,3,2850.0,15.0
448,37,11000000,2,1,900.0,7.1
449,13,70000000,6,6,3050.0,22.0
450,32,35000000,5,3,2500.0,10.0
451,38,100000000,6,4,4000.0,17.0
452,27,8000000,3,1,1950.0,9.0
453,28,19000000,3,3,2400.0,10.0
454,28,23000000,4,4,2800.0,9.0
455,28,11000000,3,3,1300.0,6.5
456,1,8700000,3,1,1100.0,7.0
457,3,22500000,3,2,1800.0,10.5
458,28,21000000,4,4,2450.0,7.0
459,28,29000000,4,3,3000.0,10.0
460,35,21500000,4,4,2900.0,8.5
461,38,32000000,5,4,2800.0,9.5
462,28,23000000,4,3,3200.0,8.0
463,3,15800000,3,2,1850.0,10.0
464,3,170000000,6,5,5544.0,20.0
465,27,18000000,3,3,1950.0,8.0
466,32,115000000,5,5,6500.0,14.8
467,34,21000000,4,3,2100.0,8.8
468,32,52500000,5,4,4500.0,17.5
469,28,15500000,3,2,1700.0,10.0
470,38,16500000,3,2,2650.0,7.7
471,28,29000000,3,3,2100.0,7.2
472,28,29000000,4,3,2650.0,12.0
473,23,105000000,4,4,4600.0,37.0
474,18,16000000,4,2,3000.0,6.3
475,28,13000000,3,1,1800.0,10.0
476,2,8500000,4,2,2500.0,98.0
477,33,6000000,3,2,1650.0,9.64
478,38,14300000,2,1,1000.0,10.0
479,20,19600000,3,3,1900.0,6.5
480,28,11800000,3,3,1500.0,8.0
481,28,16000000,3,3,1600.0,10.0
482,38,21500000,4,3,2200.0,6.5
483,29,28000000,4,4,3680.0,10.0
484,37,56000000,4,2,2500.0,18.69
485,39,13500000,6,4,1500.0,9.0
486,28,24000000,4,4,2900.0,7.0
487,27,43000000,4,4,4100.0,11.6
488,25,21500000,4,3,2500.0,9.0
489,28,18000000,3,3,2300.0,6.5
490,28,11000000,3,3,1300.0,6.5
491,28,23000000,4,4,2800.0,9.0
492,28,21000000,4,4,2450.0,7.0
493,20,5500000,3,1,1500.0,20.0
494,28,30000000,5,4,3500.0,16.0
495,28,20000000,4,4,2500.0,10.0
496,18,50000000,4,4,4400.0,7.0
497,34,14500000,3,1,1200.0,16.3
498,32,47000000,5,4,4000.0,13.5
499,35,5500000,1,1,850.0,6.5
500,20,5500000,3,1,600.0,15.0
501,28,19500000,4,4,2650.0,10.5
502,3,50000000,6,5,3600.0,17.6
503,38,47500000,5,4,4800.0,10.25
504,35,9500000,3,1,1600.0,10.0
505,4,27500000,4,2,1200.0,8.0
506,13,40000000,5,3,2400.0,7.85
507,29,12500000,3,1,1200.0,6.0
508,28,23000000,4,3,2128.0,6.0
509,22,12500000,3,3,2000.0,8.0
510,28,46000000,4,4,3500.0,11.8
511,28,21000000,4,4,2450.0,7.0
512,22,12500000,3,3,2000.0,8.0
513,37,16500000,6,3,3000.0,12.0
514,29,10500000,2,1,1000.0,7.1
515,28,20000000,4,4,2500.0,10.0
516,28,22500000,4,4,2800.0,10.0
517,28,33000000,6,6,3900.0,12.0
518,28,21500000,4,3,2200.0,6.5
519,35,24000000,5,4,3600.0,11.5
520,35,21500000,5,3,3500.0,24.0
521,34,8800000,4,2,1300.0,8.0
522,29,17500000,5,4,2600.0,10.5
523,1,8000000,3,2,1000.0,6.8
524,3,36000000,4,4,3500.0,7.75
525,3,45000000,5,5,3150.0,7.5
526,3,26500000,4,3,2500.0,7.8
527,26,37000000,5,5,3750.0,9.4
528,30,72000000,3,3,4100.0,6.0
529,32,32000000,4,3,2500.0,8.0
530,32,29500000,3,3,2800.0,8.7
531,23,36000000,4,3,2500.0,8.0
532,18,75000000,4,4,2500.0,13.25
533,32,55000000,4,4,3500.0,13.0
534,38,32000000,4,3,3150.0,9.2
535,18,46000000,4,4,3200.0,16.0
536,22,10500000,3,2,1500.0,8.3
537,38,33500000,5,4,3800.0,7.8
538,28,21000000,4,4,2800.0,7.5
539,22,13000000,4,3,1600.0,11.5
540,35,21000000,4,3,2200.0,7.0
541,22,10000000,2,2,1240.0,6.0
542,35,11800000,3,2,1500.0,6.5
543,30,30000000,4,3,5000.0,12.0
544,18,95000000,6,5,4500.0,25.0
545,20,17000000,4,3,3000.0,16.25
546,27,42000000,5,3,3968.0,13.64
547,19,16900000,3,2,2700.0,28.0
548,38,13500000,4,3,1850.0,7.0
549,18,40000000,5,5,4300.0,12.5
550,38,35000000,4,4,3000.0,8.8
551,35,22000000,4,4,1130.0,8.3
552,14,60000000,5,5,3500.0,8.6
553,36,22000000,5,2,2723.0,10.0
554,38,45000000,4,4,4000.0,12.0
555,25,14000000,3,2,1288.0,8.0
556,21,16000000,3,3,2200.0,6.8
557,3,16500000,3,2,2200.0,7.1
558,1,8300000,2,1,1600.0,12.0
559,25,18000000,5,4,2880.0,7.8
560,19,15000000,3,1,2034.0,14.7
561,1,19000000,4,4,2400.0,8.0
562,27,15500000,4,2,1300.0,6.8
563,28,30000000,5,4,3500.0,16.0
564,25,14000000,3,1,1950.0,18.5
565,21,19000000,4,2,2000.0,14.0
566,1,4600000,2,1,1144.0,10.0
567,13,6300000,2,1,1000.0,6.9
568,3,30000000,4,2,2200.0,13.0
569,25,20000000,4,4,2500.0,8.0
570,37,18000000,3,2,2450.0,10.0
571,32,75000000,5,4,4850.0,21.5
572,21,6700000,3,1,1200.0,12.0
573,25,90000000,4,4,4200.0,40.0
574,22,6900000,2,1,1000.0,9.3
575,13,80000000,3,2,3000.0,20.0
576,3,42000000,5,3,2800.0,15.0
577,28,35000000,6,6,3800.0,12.0
578,30,21000000,4,3,1750.0,4.0
579,25,26000000,4,2,2700.0,13.0
580,31,130000000,5,4,6000.0,22.5
581,27,27500000,4,4,2000.0,8.0
582,1,7900000,3,2,1500.0,6.0
583,13,10000000,3,1,1500.0,10.0
584,32,29000000,4,3,2800.0,8.33
585,38,13800000,4,3,1880.0,6.8
586,28,12800000,3,3,1300.0,7.9
587,28,16200000,4,1,1800.0,13.5
588,28,24000000,4,4,2900.0,7.0
589,28,21000000,4,4,2450.0,7.0
590,28,18000000,4,4,2200.0,7.0
591,35,12500000,4,2,1750.0,6.5
592,28,46000000,4,4,3500.0,11.8
593,32,21000000,3,3,1300.0,17.0
594,34,18000000,3,3,2700.0,14.0
595,25,12500000,3,3,1650.0,8.5
596,25,16500000,3,2,2027.0,14.3
597,20,34000000,4,1,2000.0,60.0
598,32,59500000,7,5,5200.0,12.5
599,1,9975000,4,2,2200.0,11.23
600,38,32500000,4,4,3500.0,11.0
601,34,13000000,3,3,1500.0,10.7
602,28,22500000,4,4,2800.0,10.0
603,28,33000000,6,5,3900.0,12.0
604,28,16000000,3,3,1600.0,10.0
605,28,11000000,3,3,1300.0,6.5
606,28,23000000,4,4,2800.0,9.0
607,1,13500000,3,3,1650.0,10.0
608,28,105000000,5,5,6600.0,40.0
609,25,32500000,6,2,3000.0,15.0
610,23,30000000,4,2,2600.0,11.0
611,34,16000000,5,3,2000.0,11.5
612,5,7500000,3,2,1200.0,4.4
613,25,14000000,3,2,1288.0,8.0
614,27,18000000,2,2,1500.0,7.0
615,27,22000000,4,3,2850.0,8.0
616,1,18000000,4,2,2537.0,6.3
617,32,32000000,3,2,2000.0,6.1
618,25,26000000,4,2,2700.0,13.0
619,25,10000000,2,1,700.0,7.5
620,0,18500000,4,1,3000.0,18.44
621,38,30000000,3,3,2500.0,11.0
622,32,42000000,5,4,3455.0,12.25
623,35,7200000,3,2,2500.0,11.5
624,26,127500000,5,4,9000.0,18.0
625,26,39000000,5,5,4000.0,10.0
626,28,21500000,4,3,2850.0,6.0
627,1,8000000,2,2,1800.0,6.0
628,3,12500000,3,3,1200.0,7.0
629,4,22000000,4,2,1100.0,13.0
630,18,80000000,9,4,5000.0,20.0
631,28,18000000,4,4,2200.0,7.0
632,35,11000000,4,2,1638.0,6.8
633,4,25000000,5,3,2725.0,12.0
634,35,8700000,2,2,1250.0,6.0
635,35,16000000,4,2,2100.0,6.0
636,22,16000000,4,2,2100.0,6.0
637,22,8700000,2,2,1250.0,6.0
638,30,56000000,9,7,4500.0,10.0
639,3,29000000,4,4,3000.0,6.0
640,28,21000000,4,4,2450.0,7.0
641,28,30000000,4,4,2900.0,8.0
642,28,19000000,3,3,2400.0,10.0
643,28,20000000,4,4,2500.0,10.0
644,1,11000000,3,3,1400.0,9.0
645,25,10000000,2,1,700.0,7.5
646,28,33000000,6,6,3800.0,12.0
647,28,24000000,4,4,2900.0,7.0
648,1,27000000,5,4,5480.0,12.8
649,25,27000000,5,4,5408.0,12.8
650,3,16500000,3,2,2200.0,7.1
651,28,16000000,3,2,1600.0,10.0
652,18,29000000,5,2,1600.0,7.0
653,1,6400000,2,1,1000.0,6.0
654,18,40000000,4,3,3000.0,14.0
655,37,9500000,3,1,1600.0,7.0
656,32,40000000,3,3,2400.0,14.5
657,5,4000000,2,2,1000.0,1.7
658,28,28000000,4,5,3500.0,6.0
659,28,68000000,6,6,5300.0,21.0
660,38,12000000,4,2,1976.0,6.85
661,26,55000000,3,3,2000.0,20.0
662,22,12500000,4,3,1850.0,9.0
663,32,42000000,4,3,2980.0,8.0
664,38,28000000,6,4,3650.0,12.5
665,28,15500000,6,3,2500.0,12.0
