,Location,Price,Beds,Baths,House Size,Land Size
180,"Kottawa, Colombo",13000000,3,3,"1,580.0 sqft",8.0 perches
181,"Moratuwa, Colombo",19800000,4,2,"2,200.0 sqft",8.6 perches
182,"Kaduwela, Colombo",7000000,5,4,"2,400.0 sqft",12.2 perches
183,"Kotte, Colombo",127500000,5,4,"9,000.0 sqft",18.0 perches
184,"Nawala, Colombo",38000000,7,4,"1,020.0 sqft",3.75 perches
185,"Rajagiriya, Colombo",25000000,3,3,"3,500.0 sqft",17.0 perches
186,"Nugegoda, Colombo",59500000,7,5,"5,200.0 sqft",12.5 perches
187,"Athurugiriya, Colombo",22500000,5,3,"2,400.0 sqft",18.5 perches
188,"Wellampitiya, Colombo",230000000,4,2,"1,890.4 sqft",19.5 perches
189,"Kottawa, Colombo",24800000,4,4,"2,500.0 sqft",7.0 perches
190,"Talawatugoda, Colombo",21500000,4,3,"2,200.0 sqft",6.5 perches
191,"Nugegoda, Colombo",45000000,5,5,"2,400.0 sqft",10.5 perches
192,"Talawatugoda, Colombo",32500000,4,4,"3,200.0 sqft",10.0 perches
193,"Malabe, Colombo",22500000,4,3,"1,883.0 sqft",5.5 perches
194,"Athurugiriya, Colombo",31000000,4,5,"4,000.0 sqft",10.0 perches
195,"Athurugiriya, Colombo",8300000,2,1,"1,600.0 sqft",12.0 perches
196,"Malabe, Colombo",19000000,3,3,"2,400.0 sqft",10.0 perches
197,"Malabe, Colombo",11800000,3,3,"1,500.0 sqft",8.0 perches
198,"Malabe, Colombo",11000000,3,3,"1,300.0 sqft",6.5 perches
199,"Homagama, Colombo",9500000,4,2,"2,000.0 sqft",12.0 perches
200,"Battaramulla, Colombo",85000000,4,2,"5,521.0 sqft",37.0 perches
201,"Malabe, Colombo",18000000,4,4,"2,200.0 sqft",7.0 perches
202,"Malabe, Colombo",23000000,4,4,"2,800.0 sqft",9.0 perches
203,"Malabe, Colombo",21000000,4,4,"2,450.0 sqft",7.0 perches
204,"Piliyandala, Colombo",28800000,6,5,"3,300.0 sqft",8.2 perches
205,"Dehiwala, Colombo",45000000,3,2,"3,500.0 sqft",14.5 perches
206,"Colombo 15, Colombo",25000000,2,2,800.0 sqft,6.5 perches
207,"Pannipitiya, Colombo",26000000,3,2,"1,500.0 sqft",10.0 perches
208,"Colombo 5, Colombo",260000000,4,4,"5,000.0 sqft",20.1 perches
209,"Malabe, Colombo",20000000,4,3,"2,400.0 sqft",10.0 perches
210,"Malabe, Colombo",21000000,4,4,"2,800.0 sqft",7.0 perches
211,"Malabe, Colombo",21500000,4,3,"2,650.0 sqft",7.0 perches
212,"Malabe, Colombo",11000000,3,2,"1,500.0 sqft",7.0 perches
213,"Malabe, Colombo",28500000,5,4,"3,800.0 sqft",10.5 perches
214,"Kottawa, Colombo",12500000,3,2,"1,537.0 sqft",10.0 perches
215,"Kohuwala, Colombo",33000000,4,4,"2,900.0 sqft",8.0 perches
216,"Malabe, Colombo",21500000,4,4,"2,400.0 sqft",6.0 perches
217,"Nugegoda, Colombo",37500000,5,3,"3,700.0 sqft",12.0 perches
218,"Kottawa, Colombo",9500000,3,2,"1,100.0 sqft",9.0 perches
219,"Maharagama, Colombo",47000000,4,3,"3,000.0 sqft",10.0 perches
220,"Malabe, Colombo",22500000,4,4,"2,800.0 sqft",8.0 perches
221,"Colombo 9, Colombo",75000000,4,3,"2,800.0 sqft",10.0 perches
222,"Malabe, Colombo",21500000,4,3,"2,200.0 sqft",6.5 perches
223,"Malabe, Colombo",16000000,3,3,"1,600.0 sqft",10.0 perches
224,"Malabe, Colombo",20000000,4,3,"2,500.0 sqft",10.0 perches
225,"Malabe, Colombo",28500000,5,4,"3,500.0 sqft",10.0 perches
226,"Piliyandala, Colombo",8000000,4,2,"2,420.0 sqft",5.0 perches
227,"Battaramulla, Colombo",49000000,5,5,"6,000.0 sqft",21.0 perches
228,"Malabe, Colombo",22500000,4,4,"2,850.0 sqft",8.0 perches
229,"Maharagama, Colombo",29000000,4,2,"3,000.0 sqft",20.0 perches
230,"Malabe, Colombo",24000000,4,4,"2,850.0 sqft",8.0 perches
231,"Malabe, Colombo",30000000,5,4,"2,850.0 sqft",10.0 perches
232,"Boralesgamuwa, Colombo",30000000,5,4,"3,500.0 sqft",7.6 perches
233,"Homagama, Colombo",4200000,2,1,"1,000.0 sqft",6.5 perches
234,"Rajagiriya, Colombo",65000000,5,4,"4,500.0 sqft",11.5 perches
235,"Malabe, Colombo",24000000,5,4,"2,500.0 sqft",10.0 perches
236,"Piliyandala, Colombo",8700000,2,2,"1,200.0 sqft",6.0 perches
237,"Rajagiriya, Colombo",32500000,4,4,"3,600.0 sqft",8.0 perches
238,"Piliyandala, Colombo",18500000,4,3,"2,300.0 sqft",10.0 perches
239,"Malabe, Colombo",23500000,4,4,"2,780.0 sqft",8.0 perches
240,"Kesbewa, Colombo",18500000,4,3,"2,000.0 sqft",9.0 perches
241,"Kaduwela, Colombo",13000000,3,2,"2,000.0 sqft",14.0 perches
242,"Maharagama, Colombo",27000000,4,2,"2,500.0 sqft",8.35 perches
243,"Malabe, Colombo",33000000,6,6,"3,900.0 sqft",12.0 perches
244,"Kolonnawa, Colombo",11000000,3,2,"1,633.0 sqft",7.5 perches
245,"Malabe, Colombo",16000000,3,3,"1,600.0 sqft",10.0 perches
246,"Colombo 5, Colombo",5500000,3,2,"2,000.0 sqft",2.0 perches
247,"Malabe, Colombo",21500000,4,3,"2,200.0 sqft",6.5 perches
248,"Malabe, Colombo",24000000,4,4,"2,650.0 sqft",8.0 perches
249,"Malabe, Colombo",11800000,3,3,"1,500.0 sqft",8.0 perches
250,"Athurugiriya, Colombo",7200000,2,1,950.0 sqft,6.0 perches
