ID,Location,Price,Beds,Baths,House Size,Land Size,New,Garden,Security,AC,Near Service,Stories,Parking,Luxury,Pantry,Hot Water,Roller Gate,CCTV,Tiled,Designed,TV Lobby
613,3,7500000,3,2,1200,4.4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
614,1,14000000,3,2,1288,8,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
615,16,18000000,2,2,1500,7,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0
616,16,22000000,4,3,2850,8,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
617,9,18000000,4,2,2537,6.3,1,1,1,0,1,2,1,1,1,0,1,1,1,0,0
618,31,32000000,3,2,2000,6.1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
619,1,26000000,4,2,2700,13,0,0,0,0,1,2,1,0,1,0,0,0,0,0,1
620,1,10000000,2,1,700,7.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
622,11,30000000,3,3,2500,11,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0
623,31,42000000,5,4,3455,12.25,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
624,22,7200000,3,2,2500,11.5,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
626,32,39000000,5,5,4000,10,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
627,17,21500000,4,3,2850,6,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
628,9,8000000,2,2,1800,6,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0
629,18,12500000,3,3,1200,7,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0
630,7,22000000,4,2,1100,13,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
632,17,18000000,4,4,2200,7,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0
634,7,25000000,5,3,2725,12,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0
636,22,16000000,4,2,2100,6,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
637,8,16000000,4,2,2100,6,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
639,23,56000000,9,7,4500,10,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
640,18,29000000,4,4,3000,6,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0
641,17,21000000,4,4,2450,7,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
642,17,30000000,4,4,2900,8,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
643,17,19000000,3,3,2400,10,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
644,17,20000000,4,4,2500,10,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
645,9,11000000,3,3,1400,9,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
646,1,10000000,2,1,700,7.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
647,17,33000000,6,6,3800,12,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0
648,17,24000000,4,4,2900,7,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
649,9,27000000,5,4,5480,12.8,1,0,0,0,0,2,1,0,1,0,0,0,0,1,0
650,1,27000000,5,4,5408,12.8,1,1,0,0,0,2,1,0,1,0,0,0,0,1,0
651,18,16500000,3,2,2200,7.1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
652,17,16000000,3,2,1600,10,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0
653,24,29000000,5,2,1600,7,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
654,9,6400000,2,1,1000,6,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0
655,24,40000000,4,3,3000,14,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
656,33,9500000,3,1,1600,7,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
657,31,40000000,3,3,2400,14.5,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0
658,3,4000000,2,2,1000,1.7,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0
659,17,28000000,4,5,3500,6,1,1,1,0,1,3,1,1,1,0,1,1,1,0,0
661,11,12000000,4,2,1976,6.85,0,0,0,0,0,3,1,1,1,0,0,0,0,0,1
662,32,55000000,3,3,2000,20,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0
663,8,12500000,4,3,1850,9,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0
664,31,42000000,4,3,2980,8,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0
665,11,28000000,6,4,3650,12.5,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0
666,17,15500000,6,3,2500,12,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
667,24,28000000,4,2,2000,7,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
668,22,13000000,4,2,1550,7,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0
670,8,12800000,3,1,1200,7.5,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
672,17,7200000,2,1,1000,6,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
674,1,13000000,3,3,1580,8,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0
675,1,26000000,4,4,2900,10,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
676,1,17000000,4,3,2100,6.2,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0
677,17,46000000,5,4,3500,11.8,0,0,0,1,0,3,1,1,1,0,0,0,0,0,0
680,17,23000000,4,4,2800,9,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
681,17,24000000,4,4,2900,7,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
682,24,5500000,2,1,871,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
683,18,22800000,4,4,1885,5.5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
684,22,14000000,3,2,1200,9.7,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
685,9,20000000,4,3,2700,10,1,1,0,0,0,2,1,1,1,0,1,0,1,0,0
686,35,37500000,3,1,1200,10.56,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
687,35,57000000,4,3,3000,7.5,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
690,18,22500000,3,2,1800,10.5,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
691,7,15000000,3,2,2000,8.25,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
693,9,31000000,4,5,4000,10,1,1,0,0,0,3,1,0,1,0,0,0,0,0,0
694,11,32500000,4,4,3200,10,1,0,0,0,0,2,1,0,1,0,0,0,0,1,0
695,11,57500000,5,5,3800,20,0,0,0,0,0,2,1,1,1,0,0,0,0,1,0
696,29,5000000,2,1,1200,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
697,11,34000000,4,4,3300,8,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
698,11,42000000,5,5,4000,12.5,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0
699,18,18000000,3,3,1800,10.5,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
700,7,23000000,5,2,2500,8.6,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
701,25,6900000,4,2,1500,10,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
703,4,50000000,3,2,2500,6.5,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
704,22,16500000,6,3,2800,18,1,1,0,0,1,2,1,1,1,0,1,0,1,1,0
705,28,39500000,4,4,4000,20,1,0,0,0,1,3,1,0,1,0,0,0,0,0,0
706,7,27500000,4,4,3000,10,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
708,22,16000000,4,4,3200,7.2,1,1,0,0,1,3,1,1,1,1,0,0,0,0,0
709,9,19500000,4,3,2850,7.5,1,0,0,1,0,2,1,1,1,1,1,0,0,1,1
710,33,9600000,3,2,650,5.9,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
713,12,45000000,3,2,2000,5.6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
714,23,21000000,4,3,2000,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
715,30,57000000,5,5,3000,10.5,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
716,17,6900000,2,2,1077,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
717,17,9500000,3,1,2000,9.7,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
718,24,37500000,3,3,3200,6,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
719,25,11200000,3,3,1580,8,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
720,30,28500000,4,3,2500,6,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0
722,34,60000000,4,3,2000,13.1,0,0,0,1,1,3,1,1,1,1,1,0,0,1,0
723,17,18000000,3,3,2300,6.5,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
724,31,47000000,5,3,4500,7.9,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0
725,29,7900000,3,3,1600,20,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
726,18,17500000,4,2,714,5.35,0,0,0,1,0,2,0,1,1,0,0,0,1,0,1
727,1,10000000,2,1,700,7.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
728,25,9000000,3,3,1480,7.5,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0
729,31,14000000,3,2,800,10.02,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
731,23,26500000,3,2,1700,7.5,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
732,5,18000000,5,2,1582,5.4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
733,31,21000000,3,2,1950,11.8,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0
