Unnamed: 0,0,1,2,3,4,5,6,7,8,9
54,House for Sale Close to Maharagama Town,15 Aug 12:41 pm,"Maharagama, Colombo","27,000,000",2 storey House for sale close to Maharagama town in Alhena Road (150 m to highlevel road).4 bedrooms2 bathrooms / 1 servant toiletparking for 2 vehiclesroller gate,"Maharagama, Elhena Rd",4,2,"2,500.0 sqft",8.35 perches
55,B / New Single Storied House For Sale || Battaramulla,16 Aug  2:59 pm,"Battaramulla, Colombo","18,000,000","B / New Single Storied House For Sale in Robert Gunawardane Mw, Battaramulla.10.5 Perch Land          ( • - 1800 Sq. Ft.)","Robat Gunawardena Mw, Battaramulla",3,3,"1,800.0 sqft",10.5 perches
56,House for sale in Kaluaggala,16 Aug  2:57 pm,"Hanwella, Colombo","5,500,000","15 p land with 5 bedroom House  with living ,Kitchen Bath rooms",Kaluaggla,5,2,"1,500.0 sqft",15.0 perches
57,Brand New House for Sale in Pannipitiya,16 Aug  2:56 pm,"Pannipitiya, Colombo","23,700,000",• Our Reference No SH 10525( Please quote this reference number when inquiring),"Hokandara Road, Pannipitiya",4,3,"3,140.0 sqft",10.0 perches
58,House For Sale In Kahathuduwa,16 Aug  2:48 pm,"Kesbewa, Colombo","5,900,000",10 Perch Land03 Bedrooms 02 Bathrooms ( inside / outside )Well Water & Pipe-line WaterLiving area  ( Tiled )Dining area ( Tiled )Veranda ( Finishing roof )kitchenWall & Gate.........................................800m to Kahathuduwa Highway Entrance & Colombo bus route800 m to Wethara Hospital 1.3km to Wethara School1km to Pre-School - Pharmacy - Groceries - Medical Center - Highway Exchange - Filling Station & all Facilities Quick Sale,Kahathuduwa,3,2,"2,400.0 sqft",10.0 perches
59,House for Sale in Moratuwa,16 Aug  2:42 pm,"Moratuwa, Colombo","24,000,000","Moratuwa- Rawathawatte Up Stair House For Sale, 600 M To Galle Road,4 Bed Rooms, 3 Attached Bath Rooms, Pantry, Sitting, Dining Rooms, Hot Water, Parking For 2 Vehicles With All Facilities, Excellent Residential Area.","1/77, Rawathawatte Road,Rawathawatte, Moratuwa.",4,3,"2,100.0 sqft",8.3 perches
60,House for Sale Homagama Godagama,11 Aug  5:09 pm,"Homagama, Colombo","11,000,000",🔴BRAND NEW HOUSE,Homagama Godagama,3,2,"1,500.0 sqft",11.0 perches
61,House for Sale in Pelawatta - H0733,16 Aug  2:37 pm,"Battaramulla, Colombo","110,000,000",BEAUTIFUL HOUSE AT PELAWATTA,,4,4,"4,500.0 sqft",22.0 perches
62,House for sale in Homagama,16 Aug  2:37 pm,"Homagama, Colombo","3,950,000","3 Km to  NSBM Campus  2.5 Km to Mahinda Rajapaksha School  4 Km to homagama train 2 km to paali campus  4 Km to Meegoda economic center  Clear document Homagama Pradeshya saba approvel 3 Bed rooms, Living room, Dining room ,kitchen, varandha , vehical parking. . ඉක්මණින් විකිණීමට ඇත .",Homagama,3,1,"1,150.0 sqft",9.6 perches
63,House for Sale - Piliyandala HH529,16 Aug  2:36 pm,"Piliyandala, Colombo","13,500,000",BEAUTIFUL TWO STORIED HOUSE AT PILIYANDALA.,,3,2,"2,100.0 sqft",13.5 perches
64,House for Sale in Delkada - HH690-A,16 Aug  2:35 pm,"Nugegoda, Colombo","100,000,000",LUXURY HOUSE FOR SALE AT DELKADA JUNTION NUGEGODA.,,7,6,"8,600.0 sqft",19.6 perches
65,B / New 2 Storied House for Sale in || Athurugiriya,16 Aug  2:33 pm,"Athurugiriya, Colombo","16,000,000","Brand New Two story house For Sale @ Athurugiriya. On 07 Perch Land Kaduwela Rd, Athurugiriya.From their only 800 meters to Athurugiriya Town","Kaduwela Road, Athurugiriya",4,3,"2,200.0 sqft",7.0 perches
