,Location,Price,Beds,Baths,House Size,Land Size
290,Malabe,24000000,5,4,2800.0,10.25
291,Athurugiriya,18000000,4,4,2200.0,8.0
292,Malabe,20000000,4,3,2500.0,10.0
293,Malabe,22500000,4,4,2850.0,8.0
294,Malabe,24000000,4,4,2900.0,7.0
295,Piliyandala,12500000,4,2,1750.0,6.5
296,Malabe,19000000,3,3,2400.0,10.0
297,Malabe,11800000,3,3,1500.0,8.0
298,Malabe,21000000,4,4,2450.0,7.0
299,Malabe,30000000,4,3,315.0,6.0
300,Talawatugoda,34000000,4,4,3300.0,8.0
301,Talawatugoda,21500000,4,3,2200.0,6.5
302,Malabe,19500000,4,4,2750.0,10.5
303,Malabe,21500000,4,3,2200.0,6.5
304,Malabe,16000000,3,3,1600.0,10.0
305,Malabe,18000000,3,3,2300.0,6.5
306,Nugegoda,88000000,4,5,3000.0,16.0
307,Malabe,19500000,3,3,2400.0,8.6
308,Malabe,19500000,4,3,2250.0,6.5
309,Kotte,6900000,2,1,650.0,3.5
310,Athurugiriya,8700000,3,1,1100.0,6.0
311,Malabe,9865000,3,3,1905.0,3.5
312,Battaramulla,25000000,4,3,3000.0,10.0
313,Athurugiriya,13400000,3,3,1750.0,7.0
314,Malabe,18000000,3,3,1800.0,7.13
315,Malabe,23000000,4,4,2300.0,11.0
316,Malabe,19500000,4,3,2850.0,7.5
317,Piliyandala,13000000,4,2,1600.0,11.5
318,Malabe,22500000,5,4,2850.0,10.0
319,Kesbewa,11000000,3,2,1600.0,8.3
320,Malabe,31000000,5,4,3800.0,7.5
321,Malabe,28800000,6,4,2850.0,12.0
322,Piliyandala,60000000,6,4,4500.0,11.0
323,Kohuwala,33000000,4,4,2900.0,8.0
324,Homagama,9300000,3,3,1410.0,10.5
325,Kolonnawa,7500000,2,2,1127.0,2.5
326,Kolonnawa,19000000,6,3,2230.0,5.5
327,Rajagiriya,7500000,3,2,1500.0,3.0
328,Dehiwala,48000000,4,4,3300.0,11.5
329,Colombo 5,260000000,4,4,5000.0,20.1
330,Piliyandala,16500000,4,3,2500.0,13.0
331,Nugegoda,15000000,2,1,1400.0,7.5
332,Piliyandala,68000000,5,4,3600.0,9.5
333,Kotte,55000000,10,5,3500.0,12.0
334,Kottawa,19000000,4,4,2620.0,8.0
335,Moratuwa,3900000,3,2,2000.0,15.0
336,Piliyandala,8700000,2,2,1250.0,6.0
337,Athurugiriya,16000000,4,3,2200.0,7.0
338,Talawatugoda,12000000,3,2,1100.0,5.1
339,Ratmalana,6300000,2,1,600.0,1.0
340,Piliyandala,15900000,6,3,2750.0,8.5
341,Athurugiriya,18000000,4,4,2200.0,8.0
342,Dehiwala,55000000,4,3,2000.0,15.2
343,Athurugiriya,13500000,3,3,1650.0,10.0
344,Moratuwa,7000000,4,1,2000.0,7.0
345,Malabe,24000000,4,4,2900.0,7.0
346,Talawatugoda,35300000,4,4,3200.0,10.5
347,Moratuwa,7000000,2,1,1500.0,10.0
348,Malabe,27000000,3,2,1500.0,10.0
349,Homagama,11000000,3,2,1500.0,11.0
350,Homagama,6800000,3,2,1200.0,10.0
351,Pannipitiya,24800000,4,4,2500.0,7.0
352,Pannipitiya,21000000,4,3,2500.0,9.0
353,Battaramulla,16500000,3,2,2200.0,7.1
354,Kottawa,20000000,4,4,2500.0,8.0
355,Malabe,18000000,4,4,2200.0,7.0
356,Malabe,18000000,3,3,2300.0,6.5
357,Kotte,24000000,6,3,2850.0,7.0
358,Battaramulla,18000000,3,3,1800.0,10.5
359,Malabe,23000000,4,4,2800.0,9.0
360,Colombo 6,128250000,4,2,2000.0,22.5
361,Malabe,12800000,3,3,1300.0,7.9
362,Homagama,5800000,2,1,720.0,6.0
363,Colombo 15,50000000,7,4,3000.0,17.75
364,Malabe,20000000,4,4,2500.0,10.0
365,Kohuwala,140000000,9,6,2200.0,20.0
366,Dehiwala,8900000,5,2,1500.0,2.5
367,Malabe,16000000,7,4,3000.0,21.0
368,Ratmalana,13500000,3,2,1600.0,6.0
369,Malabe,14000000,5,4,1950.0,6.6
370,Malabe,29000000,4,3,3200.0,10.5
371,Homagama,24000000,5,3,3000.0,9.5
372,Homagama,2800000,2,1,1200.0,5.8
373,Moratuwa,15900000,4,3,2200.0,8.0
374,Homagama,31500000,5,4,4000.0,6.0
375,Pannipitiya,11000000,3,1,2000.0,9.3
376,Boralesgamuwa,32000000,4,5,3223.0,6.2
377,Pannipitiya,40000000,4,3,3800.0,22.0
378,Malabe,22500000,4,4,2800.0,8.0
379,Talawatugoda,80000000,4,4,4800.0,18.5
380,Colombo 9,6500000,2,1,850.0,800.0
381,Malabe,33000000,6,6,3900.0,12.0
382,Colombo 7,525000000,4,6,11715.0,22.3
383,Talawatugoda,35000000,4,4,3250.0,8.0
384,Piliyandala,9800000,3,2,960.0,10.0
385,Colombo 4,200000000,6,4,4000.0,8.8
386,Wellampitiya,12500000,4,2,1520.0,4.5
387,Kohuwala,30000000,3,3,2850.0,7.5
388,Talawatugoda,34000000,4,3,2850.0,7.5
389,Malabe,18500000,3,2,1950.0,8.0
390,Colombo 5,130000000,4,2,1850.0,23.0
391,Kotte,29000000,6,3,2650.0,9.6
392,Talawatugoda,78000000,6,6,6000.0,11.3
393,Pannipitiya,25000000,5,4,2800.0,10.0
394,Malabe,23000000,4,4,3000.0,8.0
395,Nawala,41000000,3,2,2600.0,11.0
396,Talawatugoda,34000000,4,4,3300.0,8.0
397,Kesbewa,13000000,4,3,1900.0,10.0
398,Padukka,5900000,3,1,1200.0,12.0
399,Pannipitiya,21000000,4,3,2600.0,10.7
400,Talawatugoda,33500000,5,4,4200.0,7.0
401,Kotte,130000000,4,3,3500.0,26.0
402,Kottawa,13000000,3,2,1400.0,8.0
403,Kaduwela,13000000,3,2,2000.0,14.0
404,Athurugiriya,29500000,4,3,4500.0,11.0
405,Kottawa,11700000,3,2,1550.0,8.7
406,Nugegoda,37500000,5,5,4000.0,6.0
407,Pannipitiya,12900000,3,2,1200.0,10.9
408,Maharagama,15500000,3,1,1500.0,10.8
409,Mount Lavinia,23000000,5,5,2500.0,11.6
410,Kaduwela,150000000,5,2,1600.0,13.0
411,Athurugiriya,7500000,3,2,1050.0,6.0
412,Piliyandala,11000000,4,2,2624.0,8.5
413,Kottawa,9700000,3,2,1100.0,7.4
414,Kottawa,400000000,7,6,3500.0,10.0
415,Nugegoda,38500000,6,4,2900.0,9.85
416,Hanwella,11000000,5,2,1100.0,12.0
417,Colombo 5,250000000,6,7,3800.0,15.0
418,Nugegoda,31100000,3,2,7988.0,7.5
419,Colombo 5,125000000,5,4,4200.0,12.0
420,Battaramulla,12500000,3,2,1400.0,10.0
421,Nugegoda,250000000,6,7,3500.0,15.0
422,Talawatugoda,36000000,4,4,3000.0,8.8
423,Battaramulla,45000000,4,3,3800.0,10.0
