,0,1,2,3,4,5,6,7,8
36,Brand New House for Rent in Rajagiriya,17 Jun  2:53 pm,"Rajagiriya, Colombo","100,000","2nd floor Brand New House situated in Rajagiriya (opp. McDonald's) consists of a spacious sitting and dining room, three bed rooms with attached bathrooms (2 AC bed rooms and 1 non-AC bed room) including a spacious AC master bed room, elegant pantry with fitted cupboards, balcony area, 1 Vehicle parking.","No:60 (12, N/H) Bandaranayakapura Road, Rajagiriya",3,4,"1,800 sqft"
37,A Furnished Apartment For Rent in Rajagiriya,15 Jun  7:54 am,"Rajagiriya, Colombo","80,000","Contact Person - Lionel Baddevithana****************************************************************************************Quick access to public transport, banks and supermarkets (walking distance).Quiet and Calm Neighborhood.Private Balcony.Access to Rooftop.Washrooms equipped with hot water facility.Wooden floor.",2,2,"1,500 sqft",
38,3 Bedroom Apartment with Lush Green River View for Rent Colombo 8,12 Jun  8:00 am,"Rajagiriya, Colombo","140,000",Brand new unfurnished apartment by Prime Homes in Rajagiriya is available for immediate occupancy on the 9th floor with a lush green River view.,"N0 418, Rajagiriya Road, Colombo 8",3,2,"1,329 sqft"
39,Rajagiriya Fairmount Apartment For Rent, 8 Jun  2:25 pm,"Rajagiriya, Colombo","165,000","03 Bedrooms,03 Bathrooms,1700 Square Feet,Fully Furnished.Adam's Peak View, Well Maintained, Recently Refurbished, Wooden Floor.","Buthgamuwa Road, Rajagiriya",3,3,"1,700 sqft"
40,"Apartment for Rent at The Highness, Rajagiriya", 7 Jun  2:33 pm,"Rajagiriya, Colombo","150,000","Apartment for rent at The Highness, Rajagiriya3 Bedrooms2 BathroomsDomestic room + washroom1290 sqftFurnished, Pool, Gym150k per month",3,3,"1,290 sqft",
41,Apartment for Rent in Rajagiriya, 8 Jul  1:02 pm,"Rajagiriya, Colombo","250,000","- Large 3 bedrooms and 2 bathrooms - 1920 sqft- Ac- Living and dining area- maids room and toilet - Rooftop area and swimming pool - Gym- garden area - kids play area- Fully furnished- Rent Rs. 250,000/=",3,2,"1,920 sqft",
42,Apartment For Rent In Rajagiriya - 3BR,19 Jul  3:50 pm,"Rajagiriya, Colombo","195,000","Apartment in Koswatte road, Nawala, Rajagiriya for long term. Private and Exclusive Community with only 12 Units in totalClose proximity to all leading supermarkets, Easy access to Gateway international school, Government & Private sector organizations. Easy access to Colombo. Fully furnished and fully equipped with all facilities.",3,2,"1,800 sqft",
43,Furnished 2 Bed Apartment for Rent Sky Gardens Rajagiriya, 1 Jun  7:44 pm,"Rajagiriya, Colombo","180,000","2 bedroom with 2 attached bathrooms. 24th Floor luxury apartment for rent. Fully furnished, swimming pool, gym. 1,000 sqft",Sky Gardens Rajagiriya,2,2,"1,000 sqft"
44,"3BR Unfurnished Apartment for Rent in Highness, Rajagiriya",31 May  3:57 pm,"Rajagiriya, Colombo","150,000",• Our Reference No - LA 267(Please quote this reference number when inquiring),Rajagiriya,3,3,"1,500 sqft"
45,4 Bedrooms Apartment for Rent in Rajagiriya, 8 Jul  1:02 pm,"Rajagiriya, Colombo","300,000",- 2146 sqft- Ac- 2 parking spaces- Swimming Pool- Kiddies Pool- Fully Equipped Gym- Lounge- Banquet Hall- Meeting Room- Drivers Lounge- Club House- Badminton and Squash court- Tennis court- Basketball court- Games Room- Diner- Mini Mart- Price is 55M LKR,4,4,"2,146 sqft",
46,Three Bed Apartment for Rent in Rajagiriya [AR03],29 May 11:04 pm,"Rajagiriya, Colombo","165,000","Brand new, never before lived-in three bedroom apartment for rent at The Highness - Rajagiriya. Conveniently located on Rajagiriya Road within close proximity to all modern day conveniences. The apartment offers generous living space along with a total of three bedrooms and two bathrooms. ","The Highness, Rajagiriya Road, Rajagiriya",3,2,"1,384 sqft"
47,Apartment for Rent - Rajegiriya,26 Jun  4:03 pm,"Rajagiriya, Colombo","55,000","Apartment for rent 1st floor3 bedrooms2 bathroomsSeparate Maids room with bathroomLiving, dining, kitchen1 balconies with common roof topParking for 1 vehicle with covered and remote roller gate","Morevitiya Road,Madiinagode,Rajegiriya",3,2,"1,300 sqft"
48,Rajagiriya - Fully Furnished Apartment for Rent,25 May  7:20 pm,"Rajagiriya, Colombo","125,000","Located in a beautiful surrounding overlooking the Diyawanna Lake amidst lush Greenery it is only 600 meters to the Rajagiriya Junction and less than a Kilometer to Leading Super Markets, Hospitals, Shopping Complexes and places of religious worship. This new apartment comprises of 2 bedrooms of which the master bedroom has an adjining toilet and there is also a separate common toilet. A separate area has been set up for the domestics with a bedroom and another toilet. It is fully furnished and fully air conditioned (energy efficient air-conditioning) and comes with a refrigerator, a fully automatic top loader washing machine, cooker hood with a 4 burner cooker, a microwave oven and LED Television. The sliding windows have protection against mosquito's which aren't many. The common areas comprise of a Gymnasium, a roof top terrace overlooking the Diyawanna Lake from one side and the Port City from the other. Whilst the common facilities include a Gymnasium, Elevator and a stand-by Back up Generator. There is no swimming pool. The apartment has facility for 1 Car Park which is located on the ground floor.",2,2,"1,300 sqft",
49,"3BR Furnished Apartment in Iconic , Rajagiriya",12 Jul  1:59 pm,"Rajagiriya, Colombo","250,000",• Our Reference No - LA 266(Please quote this reference number when inquiring),Rajagiriya,3,3,"1,700 sqft"
