,Unnamed: 0.1,Location,Price,Beds,Baths,House Size,Land Size,h_l_ratio,Bed Size,beds_bath_ratio
208,601,34,13000000,3,3,1500.0,10.7,0.5149198012409567,500.0,1.0
209,609,25,32500000,6,2,3000.0,15.0,0.7346189164370982,500.0,3.0
210,610,23,30000000,4,2,2600.0,11.0,0.8681859921529343,650.0,2.0
211,611,34,16000000,5,3,2000.0,11.5,0.6387990577713898,400.0,1.6666666666666667
212,614,27,18000000,2,2,1500.0,7.0,0.7870916961826052,750.0,1.0
213,619,25,10000000,2,1,700.0,7.5,0.3428221610039792,350.0,2.0
214,620,0,18500000,4,1,3000.0,18.44,0.597575040485709,750.0,4.0
215,621,38,30000000,3,3,2500.0,11.0,0.8347942232239752,833.3333333333335,1.0
216,623,35,7200000,3,2,2500.0,11.5,0.7984988222142372,833.3333333333335,1.5
217,629,4,22000000,4,2,1100.0,13.0,0.31080031080031084,275.0,2.0
218,632,35,11000000,4,2,1638.0,6.8,0.8847836655323286,409.5,2.0
219,633,4,25000000,5,3,2725.0,12.0,0.8340985613712886,545.0,1.6666666666666667
220,637,22,8700000,2,2,1250.0,6.0,0.7652280379553106,625.0,1.0
221,644,1,11000000,3,3,1400.0,9.0,0.5713702683399653,466.66666666666674,1.0
222,651,28,16000000,3,2,1600.0,10.0,0.5876951331496786,533.3333333333334,1.5
223,652,18,29000000,5,2,1600.0,7.0,0.8395644759281122,320.0,2.5
224,653,1,6400000,2,1,1000.0,6.0,0.6121824303642486,500.0,2.0
225,654,18,40000000,4,3,3000.0,14.0,0.7870916961826052,750.0,1.3333333333333333
226,655,37,9500000,3,1,1600.0,7.0,0.8395644759281122,533.3333333333334,3.0
227,656,32,40000000,3,3,2400.0,14.5,0.6079604825686331,800.0,1.0
228,662,22,12500000,4,3,1850.0,9.0,0.7550249974492398,462.5,1.3333333333333333
229,665,28,15500000,6,3,2500.0,12.0,0.7652280379553106,416.66666666666674,2.0
230,667,35,13000000,4,2,1550.0,7.0,0.8133280860553588,387.5,2.0
231,668,25,13000000,4,2,1550.0,7.0,0.8133280860553588,387.5,2.0
232,669,22,12800000,3,1,1200.0,7.5,0.5876951331496786,400.0,3.0
233,670,3,8000000,2,1,671.0,3.0,0.8215488215488215,335.5,2.0
234,671,28,7200000,2,1,1000.0,6.0,0.6121824303642486,500.0,2.0
235,677,25,12000000,3,1,1100.0,6.5,0.6216006216006217,366.66666666666674,3.0
236,683,35,14000000,3,2,1200.0,9.7,0.4544034534662464,400.0,1.5
237,684,1,20000000,4,3,2700.0,10.0,0.9917355371900828,675.0,1.3333333333333333
238,685,31,37500000,3,1,1200.0,10.56,0.4173971116119876,400.0,3.0
239,690,4,15000000,3,2,2000.0,8.25,0.890447171438907,666.6666666666666,1.5
240,691,39,6300000,3,2,1000.0,5.25,0.6996370632734269,333.3333333333333,1.5
241,695,33,5000000,2,1,1200.0,18.0,0.24487297214569945,600.0,2.0
242,700,20,6900000,4,2,1500.0,10.0,0.5509641873278237,375.0,2.0
243,701,13,40000000,10,10,1500.0,70.0,0.07870916961826052,150.0,1.0
244,703,35,16500000,6,3,2800.0,18.0,0.5713702683399653,466.66666666666674,2.0
245,704,34,39500000,4,4,4000.0,20.0,0.7346189164370982,1000.0,1.0
246,706,35,9000000,2,2,1250.0,6.0,0.7652280379553106,625.0,1.0
247,709,37,9600000,3,2,650.0,5.9,0.4046629624441643,216.66666666666663,1.5
248,716,28,9500000,3,1,2000.0,9.7,0.7573390891104106,666.6666666666666,3.0
249,718,20,11200000,3,3,1580.0,8.0,0.7254361799816346,526.6666666666666,1.0
250,724,33,7900000,3,3,1600.0,20.0,0.2938475665748393,533.3333333333334,1.0
251,725,3,17500000,4,2,714.0,5.35,0.4902036507813908,178.5,2.0
252,727,20,9000000,3,3,1480.0,7.5,0.7248239975512702,493.33333333333326,1.0
253,728,32,14000000,3,2,800.0,10.02,0.29326104448586754,266.6666666666667,1.5
254,730,30,26500000,3,2,1700.0,7.5,0.8325681052953781,566.6666666666666,1.5
255,732,32,21000000,3,2,1950.0,11.8,0.6069944436662463,650.0,1.5
256,734,18,40000000,2,2,1490.0,14.9,0.3673094582185491,745.0,1.0
257,735,30,14000000,3,1,800.0,3.8,0.7732830699337876,266.6666666666667,3.0
258,738,4,12500000,2,2,1580.0,15.8,0.3673094582185492,790.0,1.0
259,740,36,39000000,4,4,3600.0,30.0,0.44077134986225897,900.0,1.0
260,742,20,7900000,3,2,2000.0,10.0,0.7346189164370982,666.6666666666666,1.5
261,745,18,4300000,3,1,200.0,2.0,0.3673094582185491,66.66666666666667,3.0
262,751,35,10900000,2,2,865.0,11.95,0.2658767208025481,432.5,1.0
263,756,38,41000000,4,4,3750.0,17.0,0.8102414519526819,937.5,1.0
264,758,25,19000000,3,3,2400.0,10.0,0.8815426997245179,800.0,1.0
265,759,1,19000000,3,3,2400.0,10.0,0.8815426997245179,800.0,1.0
266,760,30,11500000,3,1,900.0,8.0,0.4132231404958678,300.0,3.0
267,764,28,23000000,3,3,2400.0,10.0,0.8815426997245179,800.0,1.0
268,770,0,14500000,3,2,1100.0,11.5,0.3513394817742644,366.66666666666674,1.5
269,781,38,38000000,3,3,5000.0,21.8,0.8424528858223603,1666.666666666667,1.0
270,782,20,5500000,2,1,1500.0,13.75,0.4007012271475081,750.0,2.0
271,783,27,7285000,3,2,1072.0,6.0,0.6562595653504745,357.33333333333326,1.5
272,785,20,8580000,2,1,852.0,7.0,0.44706808343171983,426.0,2.0
273,787,24,9000000,2,1,1100.0,6.0,0.6734006734006734,550.0,2.0
274,792,25,25000000,4,2,2500.0,14.0,0.6559097468188376,625.0,2.0
275,796,35,5000000,3,1,1400.0,10.0,0.5142332415059687,466.66666666666674,3.0
276,799,22,6500000,3,1,1000.0,6.0,0.6121824303642486,333.3333333333333,3.0
277,801,18,34000000,2,2,1300.0,7.2,0.6631976328946025,650.0,1.0
278,802,1,28000000,5,4,2500.0,16.0,0.5739210284664829,500.0,1.25
279,804,38,16500000,2,2,1000.0,6.0,0.6121824303642486,500.0,1.0
280,805,25,2500000,2,1,1500.0,12.0,0.4591368227731864,750.0,2.0
281,806,28,25000000,4,3,2240.0,10.0,0.82277318640955,560.0,1.3333333333333333
282,808,20,14500000,5,2,3000.0,25.5,0.4321287743747637,600.0,2.5
283,812,29,7950000,3,1,1500.0,9.8,0.5622083544161466,500.0,3.0
284,814,19,5000000,3,2,1250.0,10.0,0.4591368227731864,416.66666666666674,1.5
285,815,3,18000000,3,3,1800.0,10.0,0.6611570247933884,600.0,1.0
286,816,22,12000000,3,3,2722.5,20.0,0.5,907.5,1.0
287,817,25,4800000,1,1,680.0,3.6,0.6938067544128149,680.0,1.0
288,819,18,16000000,2,1,1960.0,7.3,0.9862007371347348,980.0,2.0
289,822,38,43000000,6,3,2500.0,20.0,0.4591368227731864,416.66666666666674,2.0
290,826,29,6350000,3,2,1400.0,5.7,0.9021635815894188,466.66666666666674,1.5
291,828,35,15000000,3,1,1300.0,11.0,0.4340929960764672,433.33333333333326,3.0
292,829,22,22000000,4,3,1820.0,7.63,0.8761510012552548,455.0,1.3333333333333333
293,831,25,11500000,3,1,1200.0,7.5,0.5876951331496786,400.0,3.0
294,835,32,5500000,2,1,850.0,4.5,0.693806754412815,425.0,2.0
295,837,27,25000000,8,6,3000.0,18.0,0.6121824303642485,375.0,1.3333333333333333
296,838,38,18500000,4,2,1850.0,17.0,0.3997191162966564,462.5,2.0
297,843,38,21000000,4,3,2650.0,11.0,0.8848818766174138,662.5,1.3333333333333333
298,844,28,12000000,3,2,2300.0,10.0,0.8448117539026629,766.6666666666665,1.5
299,845,35,11500000,6,1,2000.0,22.5,0.3264972961942659,333.3333333333333,6.0
300,846,18,19500000,4,2,1700.0,7.5,0.8325681052953781,425.0,2.0
301,847,22,8900000,3,2,1200.0,10.0,0.44077134986225897,400.0,1.5
302,849,35,11500000,3,2,1300.0,7.5,0.6366697275788185,433.33333333333326,1.5
303,850,35,8500000,3,2,1250.0,8.0,0.5739210284664829,416.66666666666674,1.5
304,851,33,3600000,2,1,1200.0,10.0,0.44077134986225897,600.0,2.0
305,852,0,20000000,5,4,4000.0,18.0,0.8162432404856648,800.0,1.25
306,853,33,26500000,4,2,2300.0,22.0,0.3840053426830286,575.0,2.0
307,857,22,7800000,2,1,1100.0,6.0,0.6734006734006734,550.0,2.0
308,858,25,13000000,3,3,1200.0,10.0,0.44077134986225897,400.0,1.0
309,861,35,12000000,1,1,1480.0,10.7,0.5080542038910772,1480.0,1.0
310,862,0,6500000,4,2,1200.0,5.5,0.8014024542950163,300.0,2.0
311,863,19,6800000,3,2,2000.0,15.0,0.4897459442913989,666.6666666666666,1.5
312,864,35,7800000,2,1,1100.0,6.0,0.6734006734006734,550.0,2.0
313,865,1,8500000,3,2,1320.0,10.4,0.4662004662004662,440.0,1.5
314,866,20,8000000,2,1,1250.0,7.5,0.6121824303642485,625.0,2.0
315,869,35,31500000,4,3,2150.0,8.7,0.907718776057334,537.5,1.3333333333333333
316,873,29,21500000,3,2,1200.0,11.0,0.40070122714750817,400.0,1.5
317,875,25,9800000,3,2,1500.0,6.0,0.9182736455463728,500.0,1.5
318,876,25,14200000,3,3,1580.0,10.0,0.5803489439853077,526.6666666666666,1.0
319,879,29,7600000,3,1,2500.0,13.09,0.7015077506083826,833.3333333333335,3.0
320,882,3,7000000,2,1,1497.0,6.0,0.91643709825528,748.5,2.0
321,884,28,17500000,3,3,2400.0,13.5,0.6529945923885317,800.0,1.0
322,893,18,12500000,2,1,1000.0,6.5,0.5650914741823833,500.0,2.0
323,904,35,13200000,3,3,1600.0,12.0,0.4897459442913988,533.3333333333334,1.0
324,911,3,14900000,2,2,1000.0,7.0,0.5247277974550701,500.0,1.0
325,922,21,3800000,4,1,1200.0,12.0,0.3673094582185492,300.0,4.0
326,923,35,18500000,4,4,2000.0,9.0,0.8162432404856648,500.0,1.0
327,925,35,13000000,4,3,1650.0,11.5,0.5270092226613966,412.5,1.3333333333333333
328,928,22,12000000,4,3,1800.0,8.5,0.7778317938745747,450.0,1.3333333333333333
329,931,35,25000000,4,4,3500.0,22.0,0.5843559562567827,875.0,1.0
