,0,1,2,3,4,5,6,7,8
48,Brand New Apartment for Rent - Wellewatta,20 Jul  9:02 am,"Colombo 6, Colombo","85,000","Brand New 3 BED ROOMS 1500 Square Feet apartment house for rent in Saranankara Road ***Hot water Close to Galle Road***There is easy access to Supermarkets, Hospitals, Cinemas, Restaurants, ... ***Situated on the 6th floor with car park***Security 24x7 hrs***Access to roof top available***• 3 bedrooms (master with attached bathroom)***• 2 bathrooms***• Living Room***• Kitchen***Servant Room***Servant Bath Room• balcony for all rooms and Living Rooms",Grand Residence,3,3,"1,485 sqft"
49,Apartment with Nice View for rent in Colombo 6,19 Jul  9:36 am,"Colombo 6, Colombo","95,000",Address -10 Ramakrishna Road Colombo 6	,"Ramakrishna Road, Colombo 6",1,1,750 sqft
50,Brand New Apartment Rent Wellawatte,20 Jul  9:00 am,"Colombo 6, Colombo","95,000","Brand New 3 BED ROOMS 1270 Square Feet apartment house for rent in Kalubowila***Hot water Close to Galle Road***There is easy access to Supermarkets, Hospitals, Cinemas, Restaurants, ... ***Situated on the 6th floor with car park***Security 24x7 hrs***Access to roof top available***• 3 bedrooms (master with attached bathroom)***• 2 bathrooms***• Living Room***• Kitchen***Servant Bath Room• balcony for all rooms and Living Room",grand apartments,3,2,"1,270 sqft"
51,Brand New Luxury Apartment Rent In Dehiwala,20 Jul  8:49 am,"Dehiwala, Colombo","85,000",3 bedroom 3 bathroom one attached one common one servant large hall modern kitchen floor tiled 9th floor brand new master bedroom with attached bathroom and air condition 6 month advanced agent fee half month,zoo road dehiwala,3,3,"1,200 sqft"
52,New Luxury Apartment for Rent - Colombo 4,20 Jul  8:24 am,"Colombo 4, Colombo","180,000",3 bedroom 2 bathroom hall kitchen fully tiled car park 6th floor fully furnished fully air condition swimming pool gym 24 hour security close to Galle road and Marine Drive 3 month advance agent fee half month,have road Colombo 4,3,3,"1,350 sqft"
53,Luxury Apartment For Rent In Dehiwala,20 Jul  8:22 am,"Dehiwala, Colombo","76,000",Two large bedroom large hall two bathroom one attach one common two room with air condition balconies fully furnished 4th floor close to to day Bridge college and gateway college 5 month advance agent fee half month,pepiliyana road bellantara,2,2,"1,100 sqft"
54,Luxury Apartment in Near ICBT Campus Col4 for rent,20 Jul  8:21 am,"Colombo 4, Colombo","126,000",2 bedroom 2 bathroom hall kitchen fully tied car park 6th floor very very close to icbt campus 24 hour security swimming pool gym lift service very close to Galle Road also six month advance agent fee half month,near icbt campus col4,2,2,"1,100 sqft"
55,"A Brand New Apartment for Rent - Dehiwela, Kalubowila",20 Jul  1:58 pm,"Dehiwala, Colombo","80,000","Brand new apartment (5 units)  for rent at 30/64A, De Silva cross road, Kalubowila , Dehiwela  adjoining  Kalubowila teaching Hospital, walking distance to international schools, supermarkets and all lifestyle facilities. Suitable for Doctors, hospital staff, expatriates students. Each unit consist the following....","30/64A, De Silva cross road, Kalubowila , Dehiwela",3,3,8 sqft
56,Long Term rental-Nature Green Pocket view Luxury Apartment Nugegoda,16 Jul  2:26 pm,"Nugegoda, Colombo","98,000","Brand new fully furnished apartments in Colombo suburbs located at a centralized location to nearby cities, with traffic avoiding easy access carpet roads to the cities Nugegoda, Thalawathugoda, Rajagiriya, Nawala, Colombo etc. Apartment front facing to the spectacular views of Aquatic lands of Sri Jayawardenapura Kotte near parliament creating a perfect peaceful location. Apartment offers all the thoughtful facilities needed to complement your lifestyle in Colombo. Ideal for professionals, artists, etc.Apartment comprises of following features Living area extending to front balcony  Studio type Kitchen  Dining zone. Master bedroom  Guest bedroom Master Bathroom and Common bathroom Balconies around the whole unit.  Store room","155A, Bird Park Residencies, Quarry Road, Nugegoda, Sri Jayawardenapura kotte.",2,2,"1,200 sqft"
57,Apartment for Rent in - Ratmalana,18 Jul  8:21 pm,"Ratmalana, Colombo","85,000",Apartment for Rent in Ratmalana.,2,1,800 sqft,
